ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad
1398272327,chihuahua,venta,https://casa.metroscubicos.com/MLM-1398272327-venta-cantera-de-pedregal-_JM,"$6,700,000",Chihuahua,Cantera Del Pedregal,354 m²,9,4,4,2,,0 años,,339 m²,,,,,,,,,,,,,,,,,,,
1399660279,chihuahua,14,https://casa.metroscubicos.com/MLM-1399660279-14-fraccion-de-casa-en-venta-vistalrio-valle-de-bravo-_JM,"$5,000,000",Juárez,Valle De Bravo,1027 m²,,4,5,4,,0 años,0 MXN,475 m²,,,,,,,,,,,,,,,,,,,
1401460395,chihuahua,casa,https://casa.metroscubicos.com/MLM-1401460395-casa-en-venta-ciudad-juarez-chihuahua-fraccionamiento-mision-del-sol-_JM,"$3,550,000",Juárez,Misión Del Sol,185 m²,,3,4,2,,19 años,,207 m²,,,,,,,,,,,,,,,,,,,
1401451222,chihuahua,casa,https://casa.metroscubicos.com/MLM-1401451222-casa-en-venta-en-cd-juarez-santa-teresa-_JM,"$2,153,000",Juárez,Santa Teresa,120 m²,,3,4,,,20 años,,186 m²,,,,,,,,,,,,,,,,,,,
1424272347,chihuahua,remato,https://casa.metroscubicos.com/MLM-1424272347-remato-casa-en-montecarlo-jc-_JM,"$1,029,780",Chihuahua,Lomas Montecarlo,150 m²,7,3,2,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1424241021,chihuahua,remato,https://casa.metroscubicos.com/MLM-1424241021-remato-casa-en-montecarlo-jc-_JM,"U$S54,000",Chihuahua,Lomas Montecarlo,150 m²,7,3,2,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1424197632,chihuahua,remato,https://casa.metroscubicos.com/MLM-1424197632-remato-casa-en-residencial-misiones-jc-_JM,"$1,461,000",Chihuahua,Chihuahua,250 m²,6,3,3,2,2,0 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1424221895,chihuahua,remato,https://casa.metroscubicos.com/MLM-1424221895-remato-casa-en-residencial-misiones-jc-_JM,"U$S73,000",Chihuahua,Chihuahua,250 m²,6,3,3,2,2,0 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1423418940,chihuahua,remato,https://casa.metroscubicos.com/MLM-1423418940-remato-casa-en-mision-de-los-lagos-jc-_JM,"$4,736,000",Juárez,Fraccionamiento Misión de los Lagos,650 m²,8,5,4,4,2,15 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1423412430,chihuahua,remato,https://casa.metroscubicos.com/MLM-1423412430-remato-casa-en-mision-de-los-lagos-jc-_JM,"U$S237,000",Juárez,Fraccionamiento Misión de los Lagos,650 m²,8,5,4,4,2,15 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1424202200,chihuahua,casa,https://casa.metroscubicos.com/MLM-1424202200-casa-fraccionamiento-jardines-de-san-marcos-_JM,"$3,235,500",Camargo,Fraccionamiento Jardines de San Marcos,628 m²,,4,4,4,,0 años,0 MXN,,,,,,,,,,,,,,,,,,,,
