ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad
1416890004,coahuila,casa,https://casa.metroscubicos.com/MLM-1416890004-casa-jardines-de-la-florida-_JM,"$5,780,000",Saltillo,Jardines De La Florida,271 m²,5,3,2,2,2,40 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1423696794,coahuila,venta,https://casa.metroscubicos.com/MLM-1423696794-venta-de-casa-residencial-en-las-villas-del-cardenchal-torreon-coahuila-_JM,"$9,500,000",TorreÃ³n,Ejido San Gerardo (Cardenchal),450 mÂ²,,,,,2,,,408 mÂ²,3,4,,,,,,,,,,,,,,,,,
1423932219,coahuila,nueva,https://casa.metroscubicos.com/MLM-1423932219-nueva-casa-en-venta-villas-del-renacimiento-torreon-coahuila-_JM,"$1,350,000",Torreón,Villas Del Renacimiento,135 m²,,3,2,,2,,,130 m²,,,,,,,,,,,,,,,,,,,
1422390236,coahuila,casa,https://casa.metroscubicos.com/MLM-1422390236-casa-en-venta-de-una-planta-en-campestre-la-rosita-torreon-coahuila-_JM,"$3,280,000",Torreón,Residencial Campestre la Rosita,462 m²,,3,3,,1,,,328 m²,,,,,,,,,,,,,,,,,,,
1424818132,coahuila,casa,https://casa.metroscubicos.com/MLM-1424818132-casa-en-remate-ampliacion-doctores-saltillo-coahuila-_JM,"$1,954,000",Saltillo,Doctores Amp,250 m²,,4,3,2,,10 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1422702430,coahuila,casa,https://casa.metroscubicos.com/MLM-1422702430-casa-en-privada-las-magnolias-_JM,"$3,580,000",Saltillo,Las Magnolias,286 m²,7,3,3,4,,0 años,,232 m²,,,,,,,,,,,,,,,,,,,
1422926874,coahuila,casa,https://casa.metroscubicos.com/MLM-1422926874-casa-en-venta-en-parque-coahuila-_JM,"$6,450,000",San Andrés Cholula,Lomas de Angelópolis,180 m²,9,4,4,2,,0 años,,320 m²,,,,,,,,,,,,,,,,,,,
1426092709,coahuila,se,https://casa.metroscubicos.com/MLM-1426092709-se-vende-casa-en-el-norte-en-los-silleres-con-amplio-terreno-_JM,"$9,500,000",Saltillo,Los Siller,1395 m²,3,3,2,4,2,20 años,0 MXN,450 m²,,,,Norte,,,,,,,,,,,,,,,
1422415631,coahuila,casa,https://casa.metroscubicos.com/MLM-1422415631-casa-en-venta-en-torreon-coahuila-la-casa-para-entrega-inmediata-y-frente-al-area-verde-que-buscas-excelente-ubicacion-cercana-al-aeropuerto-bosque-urbano-juan-pablo-ii-y-periferico-_JM,"$1,815,000",Torreón,Fraccionamiento Cerrada las Palmas II,144 m²,,3,2,,2,,,141 m²,,,,,,,,,,,,,,,,,,,
1422711938,coahuila,casa,https://casa.metroscubicos.com/MLM-1422711938-casa-en-venta-_JM,"$1,850,000",Torreón,Las Lomas,253.7 m²,3,3,2,2,2,11 años,350 MXN,158.16 m²,,,,Norte,,,,,,,,,,,,,,,
