ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad,Tipo de departamento,Fecha de entrega
1422733505,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1422733505-casa-de-lujo-en-venta-en-bosque-de-las-lomas-cdmx-_JM,"$43,000,000",Miguel Hidalgo,Bosque De Las Lomas,488 m²,9,4,4,3,,0 años,,1023 m²,,,,,,,,,,,,,,,,,,,,,
1423617737,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1423617737-casa-jardines-del-pedregal-_JM,"$23,800,000",Alvaro Obregón,Jardines Del Pedregal,662 m²,8,4,5,6,2,8 años,0 MXN,517 m²,,,,,2,,,,,,,,,,,,,,,,
1423934959,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1423934959-casa-jardines-del-pedregal-_JM,"$21,990,000",Alvaro Obregón,Jardines Del Pedregal,551 m²,10,4,5,6,2,0 años,0 MXN,,,,,Sur,2,,,,,,,,,,,,,,,,
1422930182,distrito-federal,hermosa,https://casa.metroscubicos.com/MLM-1422930182-hermosa-casa-en-venta-tlalpuente-_JM,"$28,500,000",Tlalpan,Tlalpuente,5000 mÂ²,11,,,10,,,,620 mÂ²,5,5,29 aÃ±os,,,,,,,,,,,,,,,,,,
1424217109,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1424217109-casa-en-venta-pedregal-de-san-francisco-_JM,"$22,500,000",Coyoacán,Pedregal De San Francisco,544 m²,9,3,4,3,,0 años,,580 m²,,,,,,,,,,,,,,,,,,,,,
1424227118,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1424227118-casa-oficina-en-venta-colonia-el-rosedal-coyoacan-_JM,"$16,000,000",Coyoacán,El Rosedal,450 m²,6,,,3,,0 años,,450 m²,,,,,,,,,,,,,,,,,,,,,
1424109828,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1424109828-casa-en-condominio-en-granjas-coapa-3-recamaras-estudio-oportunidad-_JM,"$5,150,000",Tlalpan,Granjas Coapa,72 m²,1,3,3,1,2,15 años,300 MXN,142 m²,,,,Poniente,1,,,,,,,,,,,,,,,,
1424223206,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1424223206-casa-en-venta-colonia-florida-_JM,"$12,500,000",Alvaro Obregón,Florida,250 m²,8,4,3,4,,42 años,,279 m²,,,,,,,,,,,,,,,,,,,,,
1424179754,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1424179754-casa-oficina-en-venta-colonia-cuauhtemoc-_JM,"$19,000,000",Cuauhtémoc,Cuauhtémoc,219 m²,5,,,4,,0 años,,330 m²,,,,,,,,,,,,,,,,,,,,,
1424227117,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1424227117-casa-en-venta-parque-del-pedregal-perisur-el-bosque-de-tla-_JM,"$17,500,000",Tlalpan,Parque Del Pedregal,475 m²,10,4,4,6,,35 años,,667 m²,,,,,,,,,,,,,,,,,,,,,
1425423849,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1425423849-casa-en-residencial-zacatenco-gustavo-a-madero-con-6-recamaras-240-m-id-76323-_JM,"$10,315,700",Gustavo A. Madero,Residencial Zacatenco,400 m²,6,6,5,4,,50 años,0 MXN,240 m²,,,,Norte,1,,,,,,,,,,,,,Casa,,,
1425450036,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1425450036-casa-en-ex-hacienda-coapa-tlalpan-con-3-recamaras-142-m-id-37364-_JM,"$4,450,000",Distrito Federal,Tlalpan,94 m²,3,3,3,1,,39 años,230 MXN,142 m²,,,,Norte,1,,,,,,,,,,,,,Casa,,,
1425424062,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1425424062-casa-en-la-noria-xochimilco-con-3-recamaras-140-m-id-45272-_JM,"$4,250,000",Xochimilco,La Noria,140 m²,3,3,4,2,,12 años,600 MXN,140 m²,,,,Sur,,,,,,,,,,,,,,Casa,,,
1425475860,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1425475860-casa-en-prado-churubusco-coyoacan-con-5-recamaras-320-m-id-78426-_JM,"$7,600,000",Coyoacán,Prado Churubusco,280 m²,5,5,3,2,,30 años,0 MXN,320 m²,,,,Oeste,,,,,,,,,,,,,,Casa,,,
1425443953,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1425443953-casa-en-tepalcates-iztapalapa-con-7-recamaras-300-m-id-54831-_JM,"$4,800,000",Iztapalapa,Tepalcates,160 m²,7,7,3,2,,12 años,0 MXN,300 m²,,,,Sur,1,,,,,,,,,,,,,Casa,,,
1426114916,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1426114916-casa-en-venta-en-pedregal-_JM,"$32,490,000",Alvaro Obregón,Jardines Del Pedregal,750 m²,10,4,5,6,,11 años,,620 m²,,,,,,,,,,,,,,,,,,,,,
1425575008,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1425575008-casa-en-san-ignacio-iztapalapa-con-4-recamaras-250-m-id-72897-_JM,"$4,000,000",Iztapalapa,San Ignacio,85 m²,4,4,3,1,,22 años,0 MXN,250 m²,,,,Sur,1,,,,,,,,,,,,,Casa,,,
1425450241,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1425450241-casa-en-pensador-mexicano-venustiano-carranza-con-4-recamaras-305-m-id-46016-_JM,"$5,800,000",Venustiano Carranza,Pensador Mexicano,243 m²,4,4,4,3,,26 años,0 MXN,305 m²,,,,Este,1,,,,,,,,,,,,,Casa,,,
1425430399,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1425430399-casa-en-escuadron-201-iztapalapa-con-5-recamaras-287-m-id-68876-_JM,"$7,300,000",Iztapalapa,Escuadrón 201,126 m²,5,5,3,3,,12 años,0 MXN,287 m²,,,,,,,,,,,,,,,,,,Casa,,,
1425535975,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1425535975-casa-en-barrio-18-xochimilco-con-4-recamaras-214-m-id-56186-_JM,"$5,850,000",Xochimilco,Barrio 18,120 m²,4,4,2,2,,23 años,250 MXN,214 m²,,,,Oeste,1,,,,,,,,,,,,,Casa,,,
1422294878,distrito-federal,jardines,https://casa.metroscubicos.com/MLM-1422294878-jardines-del-pedregal-casa-en-venta-exclusividad-y-confort-excelente-precio-_JM,"$25,000,000",Alvaro Obregón,Pedregal,900 m²,,4,6,5,3,20 años,,880 m²,,,,,4,,,,,,,,,,,,,,,,
1424192565,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1424192565-casa-con-jardin-y-alberca-en-pedregal-de-san-francisco-_JM,"$26,000,000",Coyoacán,Pedregal De San Francisco,810 m²,7,3,3,6,,32 años,,646 m²,,,,,,,,,,,,,,,,,,,,,
1422933583,distrito-federal,venta,https://casa.metroscubicos.com/MLM-1422933583-venta-casa-lomas-de-vista-hermosa-a-estrenarse-_JM,"$21,900,000",Cuajimalpa De Morelos,Lomas De Vista Hermosa,220 m²,9,4,4,3,,0 años,,515 m²,,,,,,,,,,,,,,,,,,,,,
1424204549,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1424204549-casa-en-venta-en-jardines-del-pedregal-_JM,"$39,500,000",Alvaro Obregón,Jardines Del Pedregal,1795 m²,9,4,4,10,,38 años,,1180 m²,,,,,,,,,,,,,,,,,,,,,
1422939945,distrito-federal,casa,https://casa.metroscubicos.com/MLM-1422939945-casa-en-renta-en-lomas-de-chapultepec-_JM,"$86,000,000",Miguel Hidalgo,Lomas De Chapultepec,1152 m²,11,4,5,10,,42 años,,850 m²,,,,,,,,,,,,,,,,,,,,,
