id, nombre, municipio, asentamiento, codigo_postal, latitud, longitud
10011, Zona Centro, 1001, Colonia, 20000, 21.8811912536621, -102.2961425781250
10012, Colinas del Rio, 1001, Fraccionamiento, 20010, 21.8940219879150, -102.3136062622070
10013, Olivares Santana, 1001, Colonia, 20010, 21.8940219879150, -102.3136062622070
10014, Las Brisas, 1001, Fraccionamiento, 20010, 21.8940219879150, -102.3136062622070
10015, Ramon Romo Franco, 1001, Fraccionamiento, 20010, 21.8940219879150, -102.3136062622070
10016, San Cayetano, 1001, Fraccionamiento, 20010, 21.8940219879150, -102.3136062622070
10017, Colinas de San Ignacio, 1001, Fraccionamiento, 20016, 21.8986034393311, -102.3191146850586
10018, La Fundición, 1001, Fraccionamiento, 20016, 21.8986034393311, -102.3191146850586
10019, Fundición II, 1001, Fraccionamiento, 20016, 21.8986034393311, -102.3191146850586
20021, Centro Cívico, 2002, Colonia, 21000, 32.6418380737305, -115.4742507934570
20022, Caliss, 2002, Unidad habitacional, 21010, 32.6509323120117, -115.4679718017578
20023, Industrial, 2002, Colonia, 21010, 32.6509323120117, -115.4679718017578
20024, Residencial Cerrada del Parque, 2002, Fraccionamiento, 21010, 32.6509323120117, -115.4679718017578
20025, Zona Industrial, 2002, Zona industrial, 21010, 32.6509323120117, -115.4679718017578
20026, Burócrata, 2002, Colonia, 21020, 32.6545104980469, -115.4557571411133
20027, Nacozari, 2002, Colonia, 21030, 32.6445655822754, -115.4622802734375
20028, Libertad, 2002, Colonia, 21030, 32.6445655822754, -115.4622802734375
20029, FOVISSSTE, 2002, Fraccionamiento, 21038, 32.6415138244629, -115.4543685913086
30031, Zona Central, 3003, Colonia, 23000, 24.1527976989746, -110.3110351562500
30032, Palacio de Gobierno del Estado de Baja California Sur, 3003, Gran usuario, 23007, 24.1488723754883, -110.3068084716797
30033, Oficina Federal de Hacienda, 3003, Gran usuario, 23009, 24.1612663269043, -110.3179779052734
30034, Ciudad del Cielo, 3003, Colonia, 23010, 24.1676235198975, -110.2951126098633
30035, Colina del Sol, 3003, Colonia, 23010, 24.1676235198975, -110.2951126098633
30036, Lomas de Palmira, 3003, Colonia, 23010, 24.1676235198975, -110.2951126098633
30037, Agustín Olachea, 3003, Colonia, 23010, 24.1676235198975, -110.2951126098633
30038, Paseos del Cortes, 3003, Colonia, 23017, 24.1755847930908, -110.2952423095703
30039, Alfonso Sanchez Madariaga INFONAVIT, 3003, Unidad habitacional, 23018, 24.1715888977051, -110.2920761108398
40021, San Francisco de Campeche Centro, 4002, Colonia, 24000, 19.8455696105957, -90.5368728637695
40022, Guadalupe, 4002, Barrio, 24010, 19.8486576080322, -90.5274200439453
40023, Pablo Garcia, 4002, Unidad habitacional, 24010, 19.8486576080322, -90.5274200439453
40024, San Francisco, 4002, Barrio, 24010, 19.8486576080322, -90.5274200439453
40025, Villa del Río, 4002, Fraccionamiento, 24010, 19.8486576080322, -90.5274200439453
40026, Guadalupe, 4002, Fraccionamiento, 24010, 19.8486576080322, -90.5274200439453
40027, Ah-kim-pech, 4002, Zona comercial, 24014, 19.8557262420654, -90.5250091552734
40028, Residencial del Bosque, 4002, Fraccionamiento, 24020, 19.8518428802490, -90.5151443481445
40029, Bellavista, 4002, Colonia, 24020, 19.8518428802490, -90.5151443481445
50301, Saltillo Centro, 5030, Colonia, 25000, 25.4217224121094, -101.0001144409180
50302, Palacio de Gobierno del Estado de Coahuila, 5030, Gran usuario, 25008, 25.4217300415039, -101.0001144409180
50303, Vista Hermosa, 5030, Colonia, 25010, 25.4060249328613, -100.9381484985352
50304, La Fuente, 5030, Fraccionamiento, 25010, 25.4060249328613, -100.9381484985352
50305, Privada La Misión, 5030, Colonia, 25010, 25.4060249328613, -100.9381484985352
50306, Privada La Campana, 5030, Colonia, 25010, 25.4060249328613, -100.9381484985352
50307, Balcones de Morelos, 5030, Fraccionamiento, 25010, 25.4060249328613, -100.9381484985352
50308, Nuevo Saltillo, 5030, Colonia, 25010, 25.4060249328613, -100.9381484985352
50309, Privada de San Javier, 5030, Fraccionamiento, 25010, 25.4060249328613, -100.9381484985352
60021, Colima Centro, 6002, Colonia, 28000, 19.2407188415527, -103.7247390747070
60022, El Diezmo, 6002, Colonia, 28010, 19.2562408447266, -103.6969299316406
60023, Lomas de Circunvalación, 6002, Colonia, 28010, 19.2562408447266, -103.6969299316406
60024, ISSSTE Lomas, 6002, Unidad habitacional, 28012, 19.2408905029297, -103.7244796752930
60025, Jardines de las Lomas, 6002, Colonia, 28014, 19.2475280761719, -103.7101821899414
60026, Lomas Vistahermosa, 6002, Colonia, 28016, 19.2539348602295, -103.7154464721680
60027, Bugambilias, 6002, Condominio, 28017, 19.2608394622803, -103.7175827026367
60028, Colinas de Santa Bárbara, 6002, Colonia, 28017, 19.2608394622803, -103.7175827026367
60029, Jardines Vista Hermosa, 6002, Colonia, 28017, 19.2608394622803, -103.7175827026367
71011, Tuxtla Gutiérrez Centro, 7101, Colonia, 29000, 16.7572269439697, -93.1190032958984
71012, El Magueyito, 7101, Barrio, 29000, 16.7572269439697, -93.1190032958984
71013, San Jacinto, 7101, Barrio, 29000, 16.7572269439697, -93.1190032958984
71014, Guadalupe, 7101, Barrio, 29000, 16.7572269439697, -93.1190032958984
71015, Santo Domingo, 7101, Barrio, 29000, 16.7572269439697, -93.1190032958984
71016, Delegación de La Secretaria de Salud, 7101, Gran usuario, 29007, 16.7450408935547, -93.0949249267578
71017, Delegación de La Secretaria de Educación Publica, 7101, Gran usuario, 29008, 16.7345218658447, -93.1173400878906
71018, Palacio de Gobierno del Estado de Chiapas, 7101, Gran usuario, 29009, 16.7609710693359, -93.1305923461914
71019, Unidad Administrativa, 7101, Equipamiento, 29010, 16.7659854888916, -93.0990829467773
80191, Zona Centro, 8019, Colonia, 31000, 28.6362991333008, -106.0754470825195
80192, San Pedro, 8019, Barrio, 31000, 28.6362991333008, -106.0754470825195
80193, Sector Bolívar, 8019, Colonia, 31000, 28.6362991333008, -106.0754470825195
80194, Parque Rotario, 8019, Colonia, 31000, 28.6362991333008, -106.0754470825195
80195, Colon, 8019, Colonia, 31000, 28.6362991333008, -106.0754470825195
80196, El Bajo, 8019, Barrio, 31000, 28.6362991333008, -106.0754470825195
80197, San Pedro, 8019, Barrio, 31000, 28.6362991333008, -106.0754470825195
80198, Secretaria de Hacienda y Crédito Publico, 8019, Gran usuario, 31008, 28.6363086700439, -106.0754470825195
80199, Palacio de Gobierno del Estado de Chihuahua, 8019, Gran usuario, 31009, 28.6363086700439, -106.0754470825195
90101, San Ángel, 9010, Colonia, 1000, 19.3494453430176, -99.1935882568359
90102, Los Alpes, 9010, Colonia, 1010, 19.3590335845947, -99.1960830688477
90103, Guadalupe Inn, 9010, Colonia, 1020, 19.3575630187988, -99.1858673095703
90104, Axotla, 9010, Pueblo, 1030, 19.3611640930176, -99.1818008422852
90105, Florida, 9010, Colonia, 1030, 19.3611640930176, -99.1818008422852
90106, Campestre, 9010, Colonia, 1040, 19.3575420379639, -99.1919021606445
90107, Tlacopac, 9010, Pueblo, 1049, 19.3533973693848, -99.1955413818359
90108, Ex-Hacienda de Guadalupe Chimalistac, 9010, Colonia, 1050, 19.3488388061523, -99.1831207275391
90109, Altavista, 9010, Colonia, 1060, 19.3502330780029, -99.1957931518555
