ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote
881331705,michoacán,casa,https://casa.metroscubicos.com/MLM-881331705-casa-barata-por-av-san-juanito-_JM,"$1,550,000",Morelia,Villas Insurgentes Infonavit,128 m²,120 m²,,3,3,2,1,,,,,,,,,,,,,,,,,,,,,
1406757056,michoacán,propiedad,https://casa.metroscubicos.com/MLM-1406757056-propiedad-colonial-en-el-centro-de-morelia-oportunidad-_JM,"$9,000,000",Morelia,Centro Histórico,600 m²,1100 m²,,21,3,,,,,,0 MXN,,,,,,,,,,,,,,,,,
1405173727,michoacán,bonita,https://casa.metroscubicos.com/MLM-1405173727-bonita-casa-en-venta-dentro-de-club-de-golf-altozano-morelia-_JM,"$16,000,000",Morelia,Altozano,400 m²,500 m²,10,4,6,4,2,,Norte,0 años,,,,,3,,,,,,,,,,,,,
1365013007,michoacán,casa,https://casa.metroscubicos.com/MLM-1365013007-casa-en-la-madero-_JM,"$2,750,000",Morelia,La Quemada,165 m²,165 m²,,3,3,2,,,Sur,,,,,,,,,,,,,,,,,,,
1415539708,michoacán,casas,https://casa.metroscubicos.com/MLM-1415539708-casas-altozano-morelia-en-venta-club-de-golf-_JM,"$16,000,000",Morelia,MontaÃ±a Monarca I,400 mÂ²,500 mÂ²,10,,,4,2,,,,3 MXN,4,6,0 aÃ±os,3,,,,,,,,,,,,,
1402789711,michoacán,cerca,https://casa.metroscubicos.com/MLM-1402789711-cerca-del-issste-y-tecnologico-de-3-recamaras-_JM,"$850,000",Morelia,Santa Fe,96 m²,125 m²,,3,2,1,,,,,0 MXN,,,,,,,,,,,,,,,,,
1395301724,michoacán,casa,https://casa.metroscubicos.com/MLM-1395301724-casa-en-venta-en-morelia-lomas-del-bosque-tres-marias-_JM,"$3,200,000",Morelia,Lomas del Bosque,170 mÂ²,214 mÂ²,,,,2,,,,,,3,4,1 aÃ±os,,,,,,,,,,,,,,
1425024965,michoacán,casa,https://casa.metroscubicos.com/MLM-1425024965-casa-sola-en-venta-en-tenencia-morelos-morelia-michoacan-_JM,"$950,000",Morelia,Tenencia de Morelos,338 m²,128 m²,,3,3,3,,,,12 años,,,,,,,,,,,,,,,,,,
1425304524,michoacán,terreno,https://casa.metroscubicos.com/MLM-1425304524-terreno-con-casa-3-recamaras-los-angeles-morelia-_JM,"$1,688,000",Morelia,Los Ángeles,600 m²,90 m²,,3,1,,1,Casa,,0 años,,,,,2,Casa sola,,,,,,,,,,,,
1423546503,michoacán,casa,https://casa.metroscubicos.com/MLM-1423546503-casa-en-venta-en-patzcuaro-_JM,"$1,350,000",Michoacán,Pátzcuaro,120 m²,234 m²,,,,,,,,0 años,,,,,,,,,,,,,,,,,,
1423431565,michoacán,casa,https://casa.metroscubicos.com/MLM-1423431565-casa-en-venta-para-terminar-jacarandas-patzcuaro-_JM,"$3,400,000",Pátzcuaro,Vista del Lago,256 m²,500 m²,,3,4,3,,,,0 años,,,,,,,,,,,,,,,,,,
1424818103,michoacán,casa,https://casa.metroscubicos.com/MLM-1424818103-casa-nueva-en-venta-en-fraccionamiento-bosques-de-patzcuaro-_JM,"$1,350,000",PÃ¡tzcuaro,Nueva Del Cristo,96 mÂ²,110 mÂ²,,,,2,,,,,,3,2,0 aÃ±os,,,,,,,,,,,,,,
1423393752,michoacán,casa,https://casa.metroscubicos.com/MLM-1423393752-casa-en-venta-en-lomas-de-la-maestranza-morelia-michoacan-_JM,"$450,000",Morelia,Lomas de La Maestranza,68 mÂ²,120 mÂ²,3,,,1,,,,,,2,1,0 aÃ±os,,,,,,,,,,,,,,
1423602510,michoacán,casa,https://casa.metroscubicos.com/MLM-1423602510-casa-en-venta-en-altozano-morelia-_JM,"$2,400,000",Morelia,Altozano,90 m²,98 m²,5,2,2,2,,,,0 años,,,,,,,,,,,,,,,,,,
