ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote
1425449948,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425449948-casa-en-real-del-valle-santa-catarina-con-4-recamaras-220-m-id-69787-_JM,"$2,900,000",Nuevo León,Santa Catarina,95 m²,220 m²,4,4,4,1,Casa,17 años,0 MXN,,,,,,,,,,,,,,,,,
1425442969,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425442969-casa-en-ciudad-satelite-monterrey-con-4-recamaras-349-m-id-74858-_JM,"$7,900,000",Monterrey,Ciudad Satélite,300 m²,349 m²,4,4,4,3,Casa,7 años,0 MXN,,,,,,,,,,,,,,,,,
1425469756,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425469756-casa-en-cerro-de-la-silla-juarez-con-4-recamaras-170-m-id-62917-_JM,"$1,500,000",JuÃ¡rez,Cerro de La Silla,98 mÂ²,170 mÂ²,4,,,1,Casa,,0 MXN,4,3,1,22 aÃ±os,,,,,,,,,,,,,
1425456395,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425456395-casa-en-bosques-del-valle-san-pedro-garza-garcia-con-3-recamaras-428-m-id-61561-_JM,"$24,300,000",San Pedro Garza García,Bosques Del Valle,378 m²,428 m²,3,3,4,2,Casa,22 años,0 MXN,,,1,,,,,,,,,,,,,,
1425475361,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425475361-casa-en-residencial-las-colinas-monterrey-con-3-recamaras-600-m-id-59318-_JM,"$12,650,000",Monterrey,Residencial Las Colinas,200 mÂ²,600 mÂ²,3,,,2,Casa,,750 MXN,3,4,,10 aÃ±os,Norte,,,,,,,,,,,,
1425449334,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425449334-casa-en-bosques-de-las-cumbres-monterrey-con-3-recamaras-500-m-id-57617-_JM,"$12,000,000",Monterrey,Bosques De Las Cumbres,285 m²,500 m²,3,3,5,4,Casa,10 años,1000 MXN,,,,,,Norte,,,,,,,,,,,
1425436395,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425436395-casa-en-residencial-san-agustin-1-sector-san-pedro-garza-garcia-con-4-recamaras-410-m-id-57818-_JM,"$12,300,000",San Pedro Garza García,Residencial San Agustin 1 Sector,248 m²,410 m²,4,4,4,2,Casa,32 años,0 MXN,,,,,,Norte,,,,,,,,,,,
1425529532,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425529532-casa-en-valle-de-cristal-monterrey-con-3-recamaras-444-m-id-64326-_JM,"$8,650,000",Nuevo León,Monterrey,323 m²,444 m²,3,3,3,3,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425561802,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425561802-casa-en-rincon-de-la-sierra-guadalupe-con-4-recamaras-480-m-id-72055-_JM,"$5,900,000",Guadalupe,Rincón De La Sierra,1250 m²,480 m²,4,4,4,2,Casa,34 años,0 MXN,,,,,,,,,,,,,,,,,
1425468928,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425468928-casa-en-cumbres-elite-sector-la-hacienda-monterrey-con-4-recamaras-170-m-id-74700-_JM,"$5,200,000",Monterrey,Cumbres Elite Sector La Hacienda,355 m²,170 m²,4,4,6,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425529525,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425529525-casa-en-valle-de-cristal-monterrey-con-3-recamaras-444-m-id-64328-_JM,"$8,650,000",Nuevo León,Monterrey,323 m²,444 m²,3,3,3,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425463164,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425463164-casa-en-las-fuentes-monterrey-con-3-recamaras-311-m-id-78907-_JM,"$5,099,000",Nuevo León,Monterrey,195 m²,311 m²,3,3,3,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425443254,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425443254-casa-en-torre-de-campo-ciudad-apodaca-con-3-recamaras-180-m-id-60272-_JM,"$2,460,000",Apodaca,Torre de Campo,125 m²,180 m²,3,3,2,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425423846,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425423846-casa-en-tepeyac-santa-catarina-con-3-recamaras-177-m-id-76152-_JM,"$2,218,000",Santa Catarina,Tepeyac,105 m²,177 m²,3,3,3,2,Casa,12 años,400 MXN,,,,,,,,,,,,,,,,,
1425542791,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425542791-casa-en-cumbres-5-sector-monterrey-con-3-recamaras-450-m-id-73613-_JM,"$7,300,000",Nuevo León,Monterrey,250 m²,450 m²,3,3,3,2,Casa,22 años,0 MXN,,,,,,,,,,,,,,,,,
1425475254,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425475254-casa-en-valle-de-las-brisas-monterrey-con-4-recamaras-315-m-id-66738-_JM,"$6,500,000",Monterrey,Valle De Las Brisas,200 m²,315 m²,4,4,3,2,Casa,21 años,0 MXN,,,,,,,,,,,,,,,,,
1425568157,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425568157-casa-en-valle-de-cristal-monterrey-con-3-recamaras-444-m-id-64114-_JM,"$8,650,000",Nuevo León,Monterrey,323 m²,444 m²,3,3,3,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425469096,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425469096-casa-en-las-margaritas-monterrey-con-3-recamaras-250-m-id-75897-_JM,"$6,950,000",Monterrey,Las Margaritas,289 m²,250 m²,3,3,3,3,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,
1425430763,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425430763-casa-en-contry-sol-guadalupe-con-3-recamaras-223-m-id-70711-_JM,"$8,000,000",Nuevo León,Guadalupe,250 m²,223 m²,3,3,5,3,Casa,24 años,0 MXN,,,,,,,,,,,,,,,,,
1425549112,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425549112-casa-en-el-obispo-san-pedro-garza-garcia-con-3-recamaras-150-m-id-65015-_JM,"$3,000,000",San Pedro Garza García,El Obispo,176 m²,150 m²,3,3,3,2,Casa,5 años,0 MXN,,,,,,Norte,,,,,,,,,,,
1425443523,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425443523-casa-en-villas-del-mirador-santa-catarina-con-3-recamaras-147-m-id-70350-_JM,"$1,890,000",Santa Catarina,Villas Del Mirador,90 m²,147 m²,3,3,1,2,Casa,15 años,0 MXN,,,,,,,,,,,,,,,,,
1425443075,nuevo-león,casa,https://casa.metroscubicos.com/MLM-1425443075-casa-en-nueva-morelos-monterrey-con-5-recamaras-206-m-id-59216-_JM,"$2,400,000",Monterrey,Nueva Morelos,114 m²,206 m²,5,5,2,1,Casa,30 años,0 MXN,,,,,,,,,,,,,,,,,
