ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1424717741,oaxaca,casa,https://casa.metroscubicos.com/MLM-1424717741-casa-a-12cuadras-del-zocalo-de-oaxaca-y-a-media-cuadra-del-periferico-_JM,"$7,200,000",Oaxaca De Juárez,Articulo 123,498 m²,498 m²,,3,2,2,,,,,,,,,,1,,,,,,,,,,,
1415817091,oaxaca,casa,https://casa.metroscubicos.com/MLM-1415817091-casa-residencial-en-venta-_JM,"$8,000,000",Tlalixtac De Cabrera,Tlalixtac De Cabrera,620 mÂ²,421 mÂ²,,,,6,,,,3,4,,,,,2,,,,,,,,,,,
1415804303,oaxaca,casa,https://casa.metroscubicos.com/MLM-1415804303-casa-la-paz-en-venta-_JM,"$1,700,000",Santa Cruz Xoxocotlan,La Paz,124 m²,135 m²,,3,3,1,,0 años,,,,,,,,2,,,,,,,,,,,
1423572860,oaxaca,casa,https://casa.metroscubicos.com/MLM-1423572860-casa-las-campanas-_JM,"$3,833,000",Oaxaca,Huajuapan De León,598 m²,,5,4,3,2,,10 años,0 MXN,,,,,,,,,,,,,,,,,,
1423085378,oaxaca,casa,https://casa.metroscubicos.com/MLM-1423085378-casa-en-venta-en-la-reforma-_JM,"$4,500,000",Oaxaca De Juárez,Reforma,161 m²,140 m²,,2,2,,,0 años,,,,,,,,,,,,,,,,,,,
1423432261,oaxaca,casa,https://casa.metroscubicos.com/MLM-1423432261-casa-oaxaca-centro-_JM,"$3,333,000",Oaxaca De Juárez,Oaxaca Centro,695 m²,,,4,3,3,,13 años,0 MXN,,,,,,,2,,,,,,,,,,,
1423787657,oaxaca,casa,https://casa.metroscubicos.com/MLM-1423787657-casa-en-villa-de-mitla-_JM,"$2,700,000",San Pablo Villa De Mitla,San Pablo Villa De Mitla,128 m²,363 m²,,1,1,,,0 años,,,,,,,,,,,,,,,,,,,
1425814445,oaxaca,hermosa,https://casa.metroscubicos.com/MLM-1425814445-hermosa-casa-en-venta-en-san-felipe-del-agua-_JM,"$12,000,000",Oaxaca De Juárez,San Felipe Del Agua 1,396 m²,196 m²,,3,3,1,,0 años,,,,,,,,2,,,,,,,,,,,
1423731380,oaxaca,casa,https://casa.metroscubicos.com/MLM-1423731380-casa-en-venta-_JM,"$1,100,000",Santa Cruz Xoxocotlan,Minería,138 m²,,,3,1,,,0 años,,,,,,,,,,,,,,,,,,,
1426704560,oaxaca,casa,https://casa.metroscubicos.com/MLM-1426704560-casa-sola-en-venta-santa-maria-ixcotel-_JM,"$5,000,000",Santa Lucia Del Camino,Santa María Ixcotel,509 m²,509 m²,,4,4,,,0 años,,,,,,,,,,,,,,,,,,,
