id,entidad,colonia,municipio,codigo_postal,tipo,m2Terreno,m2Construccion,recamaras,banos,medio_bano,Ba�os,estacionamientos,pisos,antiguedad,cuotaMantto,precioSalida,precioVenta
10293,CIUDAD DE MEXICO,Del Valle Norte,Benito Juárez,3103,TERRENO,421,,,,,0,,,,,20000000,17000000
11382,CIUDAD DE MEXICO,Mixcoac,Benito Juárez,3910,TERRENO,385.12,,,,,0,,,Mas de 30,,18500000,17000000
13132,CIUDAD DE MEXICO,Portales Sur,Benito Juárez,3300,CASA,207,230,4,2,,2,3,1,Mas de 30,,6800000,6000000
17107,CIUDAD DE MEXICO,Jardines de Coyoacán,Coyoacán,4890,CASA,482,637,4,5,1,5.5,6,3,ENTRE 21 - 30 AÑOS,,15000000,14200000
17799,CIUDAD DE MEXICO,Paulino Navarro,Cuauhtémoc,6870,EDIFICIO,542,542,,,,0,,3,Mas de 30,,62330000,62330000
17800,CIUDAD DE MEXICO,Paulino Navarro,Cuauhtémoc,6870,EDIFICIO,405,405,,,,0,,4,Mas de 30,,55810000,55810000
19424,CIUDAD DE MEXICO,BELLAVISTA,ALVARO OBREGON,1140,EDIFICIO,276.2,255,,,,0,2,3,Mas de 30,,7000000,5500000
20353,CIUDAD DE MEXICO,Avante,Coyoacán,4460,TERRENO,160,,,,,0,,,,,3580000,3580000
22022,CIUDAD DE MEXICO,HEROES DE CHURUBUSCO,IZTAPALAPA,9090,CASA,120,220,4,2,1,2.5,2,2,Mas de 30,,4500000,4025000
22083,CIUDAD DE MEXICO,CONSEJO AGRARISTA MEXICANO,IZTAPALAPA,9760,CASA,120,200,3,3,,3,1,2,Entre 21 - 30 años,,2600000,2500000
22215,CIUDAD DE MEXICO,ALFONSO XIII,ALVARO OBREGON,1460,TERRENO,451,,,,,0,,,,,9800000,9800000
22414,CIUDAD DE MEXICO,GRANJAS COAPA,TLALPAN,14330,DEPARTAMENTO,,50,2,1,,1,,4,ENTRE 21 - 30 AÑOS,,1250000,1100000
22496,CIUDAD DE MEXICO,PORTALES SUR,BENITO JUAREZ,3300,DEPARTAMENTO,,52,1,1,,1,1,3,Entre 0 - 5 años,,2280000,2280000
22499,CIUDAD DE MEXICO,PORTALES SUR,BENITO JUAREZ,3300,DEPARTAMENTO,,67,2,2,,2,1,3,Entre 0 - 5 años,,2940000,2940000
22561,CIUDAD DE MEXICO,DOCTORES,CUAUHTEMOC,6720,DEPARTAMENTO,,53,2,1,,1,,5,ENTRE 21 - 30 AÑOS,$100.00,1400000,1370000
22629,CIUDAD DE MEXICO,PORTALES SUR,BENITO JUAREZ,3300,DEPARTAMENTO,,77,2,2,,2,1,3,Entre 0 - 5 años,,3400000,3400000
22635,CIUDAD DE MEXICO,PORTALES SUR,BENITO JUAREZ,3300,DEPARTAMENTO,,85,2,2,,2,1,3,,,4090000,4090000
22642,CIUDAD DE MEXICO,PORTALES SUR,BENITO JUAREZ,3300,DEPARTAMENTO,,67,2,2,,2,1,3,,,3200000,3200000
22904,CIUDAD DE MEXICO,PORTALES SUR,BENITO JUAREZ,3300,DEPARTAMENTO,,77,2,2,,2,1,3,Entre 0 - 5 años,,3700000,3700000
22909,CIUDAD DE MEXICO,PORTALES SUR,BENITO JUAREZ,3300,DEPARTAMENTO,,64,2,2,,2,2,3,Entre 0 - 5 años,,3200000,3200000
23119,CIUDAD DE MEXICO,PUEBLO DE SAN PABLO TEPETLAPA,COYOACAN,4620,TERRENO,539.5,,2,1,,1,3,2,ENTRE 0 - 5 AÑOS,,9600000,6900000
23226,CIUDAD DE MEXICO,Romero de Terreros,Coyoacán,4310,CASA,302,250,4,3,1,3.5,4,2,Mas de 30,,10500000,10500000
23722,CIUDAD DE MEXICO,HACIENDAS DE COYOACAN,COYOACAN,4970,DEPARTAMENTO,,70,2,1,,1,1,5,Entre 0 - 5 años,,3700000,3700000
24406,CIUDAD DE MEXICO,ROMERO RUBIO,VENUSTIANO CARRANZA,15400,DEPARTAMENTO,,80,2,2,,2,1,2,Entre 0 - 5 años,POR DEFINIR,2499000,2499000
24476,CIUDAD DE MEXICO,PROGRESO TIZAPAN,ALVARO OBREGON,1080,TERRENO,156,,,,,0,,,,,16000000,10800000
24519,CIUDAD DE MEXICO,SANTA CRUZ ATOYAC,BENITO JUAREZ,3310,TERRENO,519,,,,,0,,,,,21000000,15200000
24884,CIUDAD DE MEXICO,ROMA NORTE,CUAUHTEMOC,6700,DEPARTAMENTO,,146,3,2,,2,1,5,MAS DE 30,"$1,500",6000000,5400000
25263,ESTADO DE MEXICO,JARDINES DE SATELITE,NAUCALPAN DE JUAREZ,53129,CASA,120,160,3,2,1,2.5,2,2,,,4300000,4500000
25368,CIUDAD DE MEXICO,UNIDAD MODELO,IZTAPALAPA,9089,CASA,180,200,4,2,1,2.5,5,2,Mas de 30,,5800000,5250000
25393,CIUDAD DE MEXICO,REAL DEL MORAL,IZTAPALAPA,9010,TERRENO,200,,,,,0,,,,,3500000,3000000
25716,CIUDAD DE MEXICO,AXOTLA,ALVARO OBREGON,1030,CASA EN CONDOMINIO,210,176,3,3,1,3.5,3,,ENTRE 16 - 20 AÑOS,,8900000,8400000
25726,CIUDAD DE MEXICO,XOCO,BENITO JUAREZ,3330,CASA,329,500,4,3,1,3.5,5,2,MAS DE 30,,14990000,14990000
26295,CIUDAD DE MEXICO,ROMA NORTE,CUAUHTEMOC,6700,DEPARTAMENTO,,60,1,1,,1,1,3,MAS DE 30,500,2800000,2680000
26308,CIUDAD DE MEXICO,JUAREZ,CUAUHTEMOC,6600,TERRENO,284,,,,,0,,,,,25000000,16000000
26581,CIUDAD DE MEXICO,NAPOLES,BENITO JUAREZ,3810,DEPARTAMENTO,,175,4,3,,3,2,3,ENTRE 21 - 30 AÑOS,1200,5190000,4190000
26594,CIUDAD DE MEXICO,SANTA MARIA NONOALCO,BENITO JUAREZ,3700,DEPARTAMENTO,,83,2,2,,2,1,3,ENTRE 0 - 5 AÑOS,,3925000,3720000
26649,CIUDAD DE MEXICO,San Diego Churubusco,Coyoacán,4120,CASA,150,313,3,4,1,4.5,2,3,ENTRE 11 - 15 AÑOS,,8490000,7250000
26655,CIUDAD DE MEXICO,VALLE DE TEPEPAN,TLALPAN,14646,TERRENO,300,,,,,0,,,,,3000000,3000000
26662,CIUDAD DE MEXICO,SANTIAGO,IZTACALCO,8820,DEPARTAMENTO,,39,1,1,,1,,,,,1225000,1212750
26750,CIUDAD DE MEXICO,SANTA MARIA NONOALCO,BENITO JUAREZ,3700,DEPARTAMENTO,,83,2,2,,2,1,3,ENTRE 0 - 5 AÑOS,,4035000,3835000
26754,CIUDAD DE MEXICO,VALLEJO,GUSTAVO A. MADERO,7870,TERRENO,420,,,,,0,,,,,6450000,5900000
26798,CIUDAD DE MEXICO,SAN PEDRO,IZTACALCO,8220,EDIFICIO,120,160,,,,0,,2,MAS DE 30,,3500000,2400000
26858,CIUDAD DE MEXICO,GRANJAS ESTRELLA,IZTAPALAPA,9880,DEPARTAMENTO,,50,2,1,,1,1,4,ENTRE 21 - 30 AÑOS,200,900000,800000
26913,CIUDAD DE MEXICO,NAPOLES,BENITO JUAREZ,3810,DEPARTAMENTO,,90,3,2,,2,1,4,ENTRE 21 - 30 AÑOS,800,3350000,3190000
26949,CIUDAD DE MEXICO,PASEOS DE TAXQUEÑA,COYOACAN,4250,CASA,250,500,3,3,1,3.5,6,3,ENTRE 21 - 30 AÑOS,,12700000,11600000
27069,CIUDAD DE MEXICO,CAROLA,ALVARO OBREGON,1180,DEPARTAMENTO,,74,3,2,,2,2,8,ENTRE 0 - 5 AÑOS,"$1,500",3300000,2800000
