ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote
1422818645,san-luis-potosí,hermosa,https://casa.metroscubicos.com/MLM-1422818645-hermosa-casa-en-privada-_JM,"$2,490,000",San Luis Potosí,Villa De Pozos,120 m²,170 m²,3,3,2,Sur,0 años,,,,,,,,,,,,,,,,,,,,
1419025405,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1419025405-casa-en-privada-con-terreno-excedente-no-hay-casas-del-tamano-en-la-privada-_JM,"$4,996,000",San Luis Potosí,Horizontes Residencial,244 m²,240 m²,3,4,2,,7 años,2,1,2,900 MXN,,,,,,,,,,,,,,,,
1415398645,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1415398645-casa-en-rivas-guillen-norte-slp-_JM,"$1,750,000",Soledad De Graciano Sánchez,Gral. Genovevo Rivas Guillen,200 m²,200 m²,3,4,2,Oriente,4 años,1,,2,0 MXN,,,,,,,,,,,,,,,,
1424293772,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1424293772-casa-nueva-en-venta-privada-cimera-residencial-slp-285000000-_JM,"$2,850,000",San Luis Potosí,Capulines,160 m²,170 m²,3,2,,,,,,,,,,,,,,,,,,,,,,,
1424596469,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1424596469-casa-en-venta-dentro-de-club-de-golf-terraza-con-jacuzzi-cuarto-de-servicio-7995000-accion-incluida-_JM,"$7,995,000",San Luis Potosí,La Loma Club De Golf,305 m²,340 m²,4,4,,,,,,3,,,,,,,,,,,,,,,,,
1425443802,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1425443802-casa-en-venta-en-privada-cerca-de-la-loma-_JM,"$7,500,000",San Luis Potosí,La Loma,209 m²,419 m²,4,4,,,,,,3,,,,,,,,,,,,,,,,,
1423436081,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1423436081-casa-en-venta-en-nueva-zona-residencial-cielo-abierto-232600000-recamara-en-planta-baja-los-lagos-san-luis-potosi-_JM,"$2,496,000",San Luis PotosÃ­,Residencial Los Lagos,129 mÂ²,180 mÂ²,,,,,,,,3,,3,4,,,,,,,,,,,,,,
1425564794,san-luis-potosí,industrias,https://casa.metroscubicos.com/MLM-1425564794-industrias-_JM,"$2,200,000",San Luis Potosí,Industrias,90 m²,120 m²,4,2,1,Norte,20 años,4,,3,0 MXN,,,,,,,,,,,,,,,,
1423538974,san-luis-potosí,amplio,https://casa.metroscubicos.com/MLM-1423538974-amplio-jardin-y-roof-garden-en-san-angel-2-_JM,"$6,300,000",San Luis Potosí,San Angel II,243 m²,358 m²,3,2,2,,0 años,5,,,,,,,,,,,,,,,,,,,
1422720659,san-luis-potosí,casa,https://casa.metroscubicos.com/MLM-1422720659-casa-en-venta-en-lomas-del-tecnologico-_JM,"$6,650,000",San Luis Potosí,Lomas Del Tecnológico,238 m²,323 m²,5,5,2,,,,,,,,,,,,,,,,,,,,,,
