ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Bodegas,Tipo de casa,Tipo de propiedad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1424273714,sonora,residencial,https://casa.metroscubicos.com/MLM-1424273714-residencial-casa-en-venta-_JM,"$13,100,000",Hermosillo,Casa Grande Residencial III,350 m²,524.52 m²,4,4,6,3,2,Norte,0 años,1000 MXN,,,,,,,,,,,,,
1424073025,sonora,venta,https://casa.metroscubicos.com/MLM-1424073025-venta-de-casa-completamente-amueblada-en-san-carlos-calle-creston-_JM,"U$S337,500",Guaymas,San Carlos Nuevo Guaymas,220 mÂ²,270 mÂ²,,,,,,,,,3,3,,,,,,,,,,,
1424073162,sonora,casa,https://casa.metroscubicos.com/MLM-1424073162-casa-grande-3-recamaras-familiar-_JM,"U$S150,000",Sonora,Puerto PeÃ±asco,385 mÂ²,185 mÂ²,,,,,1,,,,3,2,,,,,,,,,,,
1423407225,sonora,residencial,https://casa.metroscubicos.com/MLM-1423407225-residencial-casa-en-venta-_JM,"$5,500,000",Hermosillo,Monterosa Residencial,220.5 m²,238 m²,3,3,3,2,2,Norte,0 años,800 MXN,,,,,,,,,,,,,
1426253403,sonora,casa,https://casa.metroscubicos.com/MLM-1426253403-casa-sola-en-venta-en-la-paloma-hermosillo-sonora-_JM,"$11,500,000",Hermosillo,La Paloma,480 m²,430 m²,,4,5,4,,,4 años,,,,,,,,,,,,,,
1424770284,sonora,casa,https://casa.metroscubicos.com/MLM-1424770284-casa-residencial-real-de-quiroga-_JM,"$1,651,500",Hermosillo,Real De Quiroga,190 m²,,,3,2,2,2,,10 años,0 MXN,,,,,,,,,,,,,
1424076817,sonora,se,https://casa.metroscubicos.com/MLM-1424076817-se-vende-casa-en-colonia-la-mesa-_JM,"$450,000",Nogales,Aeropuerto De La Ciudad De Nogales,95 mÂ²,35 mÂ²,1,,,1,1,,,0 MXN,1,1,Norte,10 aÃ±os,,,,,,,,,
1425577275,sonora,casa,https://casa.metroscubicos.com/MLM-1425577275-casa-residencial-valle-del-lago-_JM,"$2,537,000",Hermosillo,Valle Del Lago,160 m²,,,3,2,2,2,,0 años,0 MXN,,,,,,,,,,,,,
1424732202,sonora,casa,https://casa.metroscubicos.com/MLM-1424732202-casa-residencial-la-rioja-residencial-_JM,"$3,534,000",Hermosillo,La Rioja Residencial,400 m²,,,3,2,2,2,,10 años,0 MXN,,,,,,,,,,,,,
1425523413,sonora,casa,https://casa.metroscubicos.com/MLM-1425523413-casa-residencial-puerta-real-residencial-_JM,"$1,020,000",Hermosillo,Puerta Real,120 m²,,,3,2,2,2,,0 años,0 MXN,,,,,,,,,,,,,
1424733238,sonora,casa,https://casa.metroscubicos.com/MLM-1424733238-casa-villa-fontana-fg-_JM,"$826,500",Sonora,Hermosillo,164 m²,,,3,2,1,1,,12 años,0 MXN,,,,,,,,,,,,,
1424819273,sonora,casa,https://casa.metroscubicos.com/MLM-1424819273-casa-residencial-la-rioja-residencial-_JM,"$4,539,900",Hermosillo,La Rioja Residencial,400 m²,,,3,2,2,2,,10 años,0 MXN,,,,,,,,,,,,,
1425463968,sonora,casa,https://casa.metroscubicos.com/MLM-1425463968-casa-fraccionamiento-los-angeles-_JM,"$678,712",Hermosillo,Los Angeles,80 m²,80 m²,2,2,1,1,1,,0 años,0 MXN,,,,,,,,,,,,,
1425575068,sonora,casa,https://casa.metroscubicos.com/MLM-1425575068-casa-fraccionamiento-los-angeles-_JM,"$649,500",Hermosillo,Los Angeles,80 m²,80 m²,2,2,1,1,1,,0 años,0 MXN,,,,,,,,,,,,,
1425518437,sonora,casa,https://casa.metroscubicos.com/MLM-1425518437-casa-fraccionamiento-los-angeles-_JM,"$684,713",Hermosillo,Los Angeles,80 m²,80 m²,2,2,1,1,1,,0 años,0 MXN,,,,,,,,,,,,,
1425535724,sonora,casa,https://casa.metroscubicos.com/MLM-1425535724-casa-fraccionamiento-los-angeles-_JM,"$684,713",Hermosillo,Los Angeles,80 m²,80 m²,2,2,1,1,1,,0 años,0 MXN,,,,,,,,,,,,,
1422836729,sonora,mp,https://casa.metroscubicos.com/MLM-1422836729-mp-casa-venta-recuperacion-bancaria-no-creditos-paseo-san-angelhermosillo-_JM,"$455,000",Hermosillo,Paseo San Angel,120 m²,70 m²,,2,1,2,,,,,,,,,,,,,,,,,
936404730,sonora,casa,https://casa.metroscubicos.com/MLM-936404730-casa-venta-exclusivo-desarrollo-en-la-jolla-al-norte-de-hermosillo-_JM,"$29,500,000",Hermosillo,La Jolla Villa De Las Esmeraldas,782.71 m²,712 m²,4,4,,4,3,Norte,0 años,0 MXN,,,,,,,,,,,,,
924045261,sonora,se,https://casa.metroscubicos.com/MLM-924045261-se-vende-hermosa-propiedad-en-colonia-kalitea-nogales-sonora-_JM,"U$S395,000",Nogales,Jardines Kalitea,457 m²,472 m²,,4,4,,,,0 años,,,,,,,,,,,,,,
933808818,sonora,casa,https://casa.metroscubicos.com/MLM-933808818-casa-en-venta-col-montecarlo-hermosillo-sonora-amm-_JM,"$763,293",Hermosillo,Montecarlo,160 m²,136 m²,,3,2,2,,,,,,,,,,,,,,,,,
936418232,sonora,venta,https://casa.metroscubicos.com/MLM-936418232-venta-casa-dos-niveles-equipada-en-exclusiva-zona-al-norte-de-hermosillo-_JM,"$13,650,000",Hermosillo,La Jolla Villa De Las Esmeraldas,500 m²,574 m²,,3,3,4,,,10 años,,,,,,,,,,,,,,
1385914421,sonora,venta,https://casa.metroscubicos.com/MLM-1385914421-venta-villa-colonial-_JM,"$650,000",Hermosillo,Villa Colonial,133 m²,84 m²,4,2,2,2,,,0 años,,,,,,,,,,,,,,
936436954,sonora,venta,https://casa.metroscubicos.com/MLM-936436954-venta-casa-con-alberca-y-hermosa-vista-a-la-ciudad-al-norte-de-hermosillo-_JM,"$15,900,000",Hermosillo,Terrazas Del Mirador,1635 m²,850 m²,,4,5,4,,,18 años,,,,,,,,,,,,,,
924045308,sonora,se,https://casa.metroscubicos.com/MLM-924045308-se-vende-elegante-casa-en-colonia-kalitea-_JM,"$14,000,000",Nogales,Jardines Kalitea,766.5 m²,800 m²,,4,5,2,,,20 años,0 MXN,,,,,,,,,,,,,
954334024,sonora,se,https://casa.metroscubicos.com/MLM-954334024-se-vende-casa-en-residencial-san-miguel-_JM,"$3,000,000",Nogales,Nogales (Nogales),336 m²,345 m²,,3,2,,,,0 años,,,,,,,,,,,,,,
1385914375,sonora,4,https://casa.metroscubicos.com/MLM-1385914375-4-recamaras-california-residencial-_JM,"$1,250,000",Hermosillo,Fraccionamiento California,160 m²,150 m²,7,4,2,,,,0 años,,,,,,,,,,,,,,
1390394207,sonora,esta,https://casa.metroscubicos.com/MLM-1390394207-esta-casa-tiene-todo-casa-nueva-en-puerto-penasco-con-3-recamaras-y-4-banos-centrico-y-barato-financimiento-disponible-_JM,"U$S109,500",Puerto PeÃ±asco,Benito JuÃ¡rez,208 mÂ²,130 mÂ²,,,,,,,,,3,3,,,,,,,,,,,
1385303287,sonora,casa,https://casa.metroscubicos.com/MLM-1385303287-casa-en-venta-contry-_JM,"$19,000,000",Hermosillo,Raquet Club,659 m²,750 m²,10,4,4,10,,,0 años,,,,,,,,,,,,,,
924052304,sonora,se,https://casa.metroscubicos.com/MLM-924052304-se-vende-casa-en-colonia-benito-juarez-nogales-sonora-_JM,"U$S140,000",Nogales,Benito Juárez,637.5 m²,110 m²,,5,3,15,,,17 años,,,,,,,,,,,,,,
1333254256,sonora,se,https://casa.metroscubicos.com/MLM-1333254256-se-vende-hermosa-casa-residencial-en-la-playa-_JM,"U$S950,000",Guaymas,San Carlos,1034 mÂ²,400 mÂ²,,,,,2,,,,4,4,,10 aÃ±os,,,,,,,,,
1401879300,sonora,se,https://casa.metroscubicos.com/MLM-1401879300-se-vende-casa-en-residencial-el-greco-_JM,"$3,300,000",Nogales,Nogales (Nogales),175.75 m²,246.47 m²,,5,3,2,,,0 años,,,,,,,,,,,,,,
1394879463,sonora,casa,https://casa.metroscubicos.com/MLM-1394879463-casa-en-colonia-pitic-en-venta-de-1-piso-en-esquina-_JM,"$6,000,000",Hermosillo,Pitic,594 m²,320 m²,,4,3,,1,,,,,,,,,,,,,,,,
894112330,sonora,casa,https://casa.metroscubicos.com/MLM-894112330-casa-en-venta-cortijo-unison-_JM,"$850,000",Hermosillo,El Cortijo UNISON,160 m²,107 m²,3,2,1,2,,,0 años,,,,,,,,,,,,,,
1332810945,sonora,oportunidad,https://casa.metroscubicos.com/MLM-1332810945-oportunidad-excelente-casa-en-privadas-del-bosque-_JM,"$870,000",Hermosillo,Privadas Del Bosque,124 m²,129 m²,5,3,1,,,,0 años,,,,,,,,,,,,,,
