ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Antigüedad,Orientación,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Ambientes,Cantidad de pisos,OrientaciÃ³n,Bodegas,Tipo de casa,Tipo de propiedad,Número de piso de la unidad,Disposición,Departamentos por piso,Acceso,Forma del terreno,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Disposición del lote
1423747872,tabasco,casa,https://casa.metroscubicos.com/MLM-1423747872-casa-en-venta-en-desarrollo-san-angel-promocion-obra-nueva-facilidades-de-pago-_JM,"$5,245,000",Villahermosa,Carrizal,203 m²,196 m²,3,3,2,0 años,,,,,,,,,,,,,,,,,,,,
1423696758,tabasco,venta,https://casa.metroscubicos.com/MLM-1423696758-venta-de-casa-nueva-en-colonia-libertad-a-3-minutos-de-tabasco-2000-_JM,"$1,870,000",Tabasco,Centro,164 m²,220 m²,3,4,2,3 años,,,,,,,,,,,,,,,,,,,,
1424176251,tabasco,casa,https://casa.metroscubicos.com/MLM-1424176251-casa-en-venta-en-residencial-las-hadas-_JM,"$13,500,000",Villahermosa,Las Hadas,400 m²,500 m²,,,,5 años,Norte,0 MXN,,,,,,,,,,,,,,,,,,
1423690954,tabasco,casa,https://casa.metroscubicos.com/MLM-1423690954-casa-en-condominio-en-venta-en-parrilla-centro-tabasco-_JM,"$1,260,000",Centro,Carrizal,105 mÂ²,87 mÂ²,,,,,,,2,2,0 aÃ±os,,,,,,,,,,,,,,,
1423722482,tabasco,casa,https://casa.metroscubicos.com/MLM-1423722482-casa-en-venta-en-residencial-lotus-_JM,"$2,000,000",Centro,El Cedro,157 m²,124 m²,3,3,,1 años,,,,,,,,,,,,,,,,,,,,
1423741624,tabasco,casa,https://casa.metroscubicos.com/MLM-1423741624-casa-en-venta-en-tamulte-_JM,"$6,200,000",Villahermosa,Tamulte De Las Barrancas,183 m²,312 m²,4,3,,37 años,,,,,,,,,,,,,,,,,,,,
1424189128,tabasco,residencial,https://casa.metroscubicos.com/MLM-1424189128-residencial-casa-en-venta-_JM,"$2,200,000",Centro,Nueva Villahermosa,102 m²,191 m²,3,2,1,30 años,Norte,0 MXN,,,,3,,,,,,,,,,,,,,
1424166563,tabasco,casa,https://casa.metroscubicos.com/MLM-1424166563-casa-en-venta-en-el-cedro-_JM,"$1,750,000",Nacajuca,El Cedro Saloya,464 mÂ²,120 mÂ²,,,,,,0 MXN,2,1,9 aÃ±os,2,1,Norte,,,,,,,,,,,,
1422825804,tabasco,casa,https://casa.metroscubicos.com/MLM-1422825804-casa-residencial-en-venta-_JM,"$1,590,000",Villahermosa,Ixtacomitan 1a Secc.,105 m²,160 m²,3,2,2,1 años,Norte,0 MXN,,,,3,2,,,,,,,,,,,,,
1423754481,tabasco,casa,https://casa.metroscubicos.com/MLM-1423754481-casa-en-venta-en-residencial-mandala-modelo-crepusculo-_JM,"$1,725,000",Tabasco,Centro,105 mÂ²,109 mÂ²,,,2,,,,3,3,0 aÃ±os,,,,,,,,,,,,,,,
1424203130,tabasco,auto,https://casa.metroscubicos.com/MLM-1424203130-auto-hotel-en-venta-_JM,"$40,000,000",Paraíso,Paraíso,4512 m²,4352 m²,38,38,40,10 años,Norte,0 MXN,,,,38,1,,,,,,,,,,,,,
1424668140,tabasco,casa,https://casa.metroscubicos.com/MLM-1424668140-casa-anacleto-canabal-_JM,"$2,290,000",Villahermosa,Tabasco,149 m²,,3,2,2,0 años,,0 MXN,,,,,2,,,,,,,,,,,,,
1424285969,tabasco,casa,https://casa.metroscubicos.com/MLM-1424285969-casa-en-venta-bosques-de-villahermosa-_JM,"$4,500,000",Centro,Villa Hermosa,260 m²,,3,3,,0 años,,0 MXN,,,,,2,,,,,,,,,,,,,
1423722456,tabasco,casa,https://casa.metroscubicos.com/MLM-1423722456-casa-en-venta-en-residencial-mandala-modelo-amanecer-_JM,"$2,078,000",Tabasco,Centro,105 mÂ²,128 mÂ²,,,2,,,,3,3,0 aÃ±os,,,,,,,,,,,,,,,
