tipo,precio,predPrices,diffPrices,percentDiff,m2Terreno,colonia,municipio_x,entidad,codigo_postal,latitud,longitud
terrenos,749700.0,720000.0,-29700.0,-3.961584633853543,126.0,Santa Imelda,Aguascalientes,Aguascalientes,20218.0,21.8711719512939,-102.3249053955078
terrenos,2200000.0,4360000.0,2160000.0,98.18181818181819,1000.0,El Salto de los Salado,Aguascalientes,Aguascalientes,20341.0,21.866418838501,-102.2501602172852
terrenos,734400.0,480000.0,-254400.0,-34.64052287581699,144.0,Aguascalientes,Aguascalientes,Aguascalientes,,,
terrenos,8400.0,20000.0,11600.0,138.0952380952381,18393.0,Los Pocitos,Aguascalientes,Aguascalientes,20328.0,21.9230976104736,-102.3432693481445
terrenos,787500.0,720000.0,-67500.0,-8.571428571428575,126.0,Pirules Infonavit,Aguascalientes,Aguascalientes,,,
terrenos,8400.0,10000.0,1600.0,19.047619047619047,16797.0,Los Pocitos,Aguascalientes,Aguascalientes,20328.0,21.9230976104736,-102.3432693481445
terrenos,950000.0,10000.0,-940000.0,-98.94736842105263,200.0,Trojes De Alonso,Aguascalientes,Aguascalientes,,,
terrenos,7038324.0,3500000.0,-3538324.0,-50.27225231461354,1955.0,Residencial Santa Paulina,Jesús Maria,Aguascalientes,20903.0,21.9838371276855,-102.2977752685547
terrenos,6800.0,10000.0,3200.0,47.058823529411775,200.0,Los Pocitos,Aguascalientes,Aguascalientes,20328.0,21.9230976104736,-102.3432693481445
terrenos,882000.0,550000.0,-332000.0,-37.641723356009074,180.0,Santa Mónica,Aguascalientes,Aguascalientes,,,
terrenos,762500.0,710000.0,-52500.0,-6.8852459016393475,121.0,Santa Imelda,Aguascalientes,Aguascalientes,20218.0,21.8711719512939,-102.3249053955078
terrenos,877500.0,770000.0,-107500.0,-12.250712250712247,135.0,San Andrés Cholula,Puebla,Aguascalientes,,,
terrenos,6700.0,10000.0,3300.0,49.25373134328359,200.0,Los Pocitos,Aguascalientes,Aguascalientes,20328.0,21.9230976104736,-102.3432693481445
terrenos,5130000.0,4360000.0,-770000.0,-15.009746588693961,1000.0,Residencial Santa Paulina,Jesús Maria,Aguascalientes,20903.0,21.9838371276855,-102.2977752685547
terrenos,726960.0,640000.0,-86960.0,-11.962143721800377,104.0,Jesús María,Jesús Maria,Aguascalientes,20996.0,21.9204788208008,-102.3858795166016
terrenos,6500000.0,4360000.0,-2140000.0,-32.92307692307692,1000.0,Santa Imelda,Aguascalientes,Aguascalientes,20218.0,21.8711719512939,-102.3249053955078
terrenos,4200.0,10000.0,5800.0,138.0952380952381,200.0,Trojes De Alonso,Aguascalientes,Aguascalientes,,,
terrenos,9500.0,10000.0,500.0,5.263157894736836,200.0,El Llano,Jesús Maria,Aguascalientes,20983.0,21.9407539367676,-102.3168792724609
terrenos,8600.0,50000.0,41400.0,481.39534883720927,160.0,Arroyo El Molino,Aguascalientes,Aguascalientes,20123.0,21.9351348876953,-102.2897033691406
terrenos,42592553.0,43410000.0,817447.0,1.9192251753493261,184383.0,San Bartolo,Aguascalientes,Aguascalientes,20388.0,21.7292423248291,-102.1357116699219
terrenos,649434.0,420000.0,-229434.0,-35.32830125925036,191.0,Las Palmas,Jesús Maria,Aguascalientes,20926.0,21.9561939239502,-102.3441848754883
terrenos,649434.0,420000.0,-229434.0,-35.32830125925036,191.0,Las Palmas,Jesús Maria,Aguascalientes,20928.0,21.9693775177002,-102.3555679321289
terrenos,9500.0,10000.0,500.0,5.263157894736836,200.0,El Llano,Jesús Maria,Aguascalientes,20983.0,21.9407539367676,-102.3168792724609
terrenos,20000000.0,1620000.0,-18380000.0,-91.9,10000.0,San Francisco De Los Romos Centro,San Francisco De Los Romo,Aguascalientes,,,
terrenos,600000.0,790000.0,190000.0,31.666666666666664,500.0,Agostaderito,Aguascalientes,Aguascalientes,,,
terrenos,1140000.0,1140000.0,0.0,0.0,475.0,La Bufadora,Ensenada,Baja California,22794.0,31.726354598999,-116.7192459106445
terrenos,1079980.0,1270000.0,190020.0,17.594770273523586,17999.0,Parque Industrial Pacífico,Tijuana,Baja California,,,
terrenos,500000.0,580000.0,80000.0,15.999999999999993,600.0,El Sargento,La Paz,Baja California,,,
terrenos,1300000.0,1650000.0,350000.0,26.923076923076916,1500.0,El Sargento,La Paz,Baja California,,,
terrenos,900000.0,890000.0,-10000.0,-1.1111111111111072,1750.0,Todos Santos,La Paz,Baja California,,,
terrenos,900000.0,740000.0,-160000.0,-17.777777777777782,1000.0,Playa De Ensenada,Ensenada,Baja California,,,
terrenos,721000.0,740000.0,19000.0,2.6352288488210807,1000.0,Mexicali,Mexicali,Baja California,21396.0,32.6022300720215,-115.386848449707
terrenos,721000.0,740000.0,19000.0,2.6352288488210807,1000.0,Mexicali,Mexicali,Baja California,22703.0,32.3537292480469,-117.0608596801758
terrenos,800000.0,890000.0,90000.0,11.250000000000004,1750.0,Agua Blanca,La Paz,Baja California,,,
terrenos,5200.0,10000.0,4800.0,92.3076923076923,94400.0,Reforma,Playas De Rosarito,Baja California,21280.0,32.6318397521973,-115.4494781494141
terrenos,5200.0,10000.0,4800.0,92.3076923076923,94400.0,Reforma,Playas De Rosarito,Baja California,22830.0,31.8731956481934,-116.6040802001953
terrenos,5200.0,10000.0,4800.0,92.3076923076923,94400.0,Reforma,Playas De Rosarito,Baja California,22920.0,30.725154876709,-115.9882125854492
terrenos,5200.0,10000.0,4800.0,92.3076923076923,94400.0,Reforma,Playas De Rosarito,Baja California,22183.0,32.4577331542969,-116.9606781005859
terrenos,5200.0,10000.0,4800.0,92.3076923076923,94400.0,Reforma,Playas De Rosarito,Baja California,22704.0,32.3834228515625,-117.0665969848633
terrenos,350000.0,480000.0,130000.0,37.142857142857146,200.0,Zona Industrial,La Paz,Baja California,21010.0,32.6509323120117,-115.4679718017578
terrenos,350000.0,480000.0,130000.0,37.142857142857146,200.0,Zona Industrial,La Paz,Baja California,21070.0,32.6334381103516,-115.4694595336914
terrenos,350000.0,480000.0,130000.0,37.142857142857146,200.0,Zona Industrial,La Paz,Baja California,21090.0,32.6296920776367,-115.4686584472656
terrenos,352000.0,200000.0,-152000.0,-43.18181818181818,160.0,Las Gaviotas,Playas De Rosarito,Baja California,22740.0,32.269889831543,-116.9925155639648
terrenos,1500000.0,1440000.0,-60000.0,-4.0000000000000036,300.0,Valle Dorado,Ensenada,Baja California,21399.0,32.6091957092285,-115.378303527832
terrenos,1500000.0,1440000.0,-60000.0,-4.0000000000000036,300.0,Valle Dorado,Ensenada,Baja California,22890.0,31.8259792327881,-116.5981597900391
terrenos,1500000.0,1440000.0,-60000.0,-4.0000000000000036,300.0,Valle Dorado,Ensenada,Baja California,22170.0,32.4219169616699,-116.9504928588867
terrenos,830000.0,80000.0,-750000.0,-90.36144578313254,500.0,La Paz Gral. Manuel Márquez de León,La Paz,Baja California,,,
terrenos,5600.0,80000.0,74400.0,1328.5714285714287,500.0,Hacienda Tecate,Tecate,Baja California,21530.0,32.5554504394531,-116.5299987792969
terrenos,1622000.0,970000.0,-652000.0,-40.19728729963009,400.0,Los Cabos,Baja California Sur,Baja California,,,
terrenos,2330640.0,2140000.0,-190640.0,-8.179727456835895,332.0,Playas de Tijuana Sección Terrazas,Tijuana,Baja California,22504.0,32.5334815979004,-117.1152725219727
terrenos,1620000.0,1440000.0,-180000.0,-11.111111111111116,300.0,Puerto Salina La Marina,Ensenada,Baja California,22765.0,32.0200614929199,-116.8691482543945
terrenos,5600.0,80000.0,74400.0,1328.5714285714287,500.0,Hacienda Tecate,Tecate,Baja California,21530.0,32.5554504394531,-116.5299987792969
terrenos,6000.0,70000.0,64000.0,1066.6666666666665,800.0,Hacienda Tecate,Tecate,Baja California,21530.0,32.5554504394531,-116.5299987792969
terrenos,960000.0,200000.0,-760000.0,-79.16666666666666,160.0,El Jibarito,Tijuana,Baja California,22606.0,32.4827613830566,-117.0814666748047
terrenos,2700.0,140000.0,137300.0,5085.185185185185,427.0,Lago del Sol Residencial,Mexicali,Baja California,21387.0,32.5896453857422,-115.445556640625
terrenos,9795500.0,3210000.0,-6585500.0,-67.22985044152927,701.0,Careaga,Ensenada,Baja California,22840.0,31.8644790649414,-116.6012268066406
terrenos,8208240.0,630000.0,-7578240.0,-92.32478582497588,599.0,Careaga,Ensenada,Baja California,22840.0,31.8644790649414,-116.6012268066406
terrenos,400000.0,480000.0,80000.0,19.999999999999996,200.0,Plan Libertador,Playas De Rosarito,Baja California,22706.0,32.3805351257324,-117.0514984130859
terrenos,991660.0,600000.0,-391660.0,-39.49539156565759,165.0,El Jibarito,Tijuana,Baja California,22606.0,32.4827613830566,-117.0814666748047
terrenos,2094800.0,2069999.9999999998,-24800.000000000233,-1.1838839029979065,349.0,El Jibarito,Tijuana,Baja California,22606.0,32.4827613830566,-117.0814666748047
terrenos,2580000.0,3860000.0,1280000.0,49.6124031007752,3000.0,Adolfo Ruiz Cortines,Ensenada,Baja California,22895.0,31.8119087219238,-116.5967178344727
terrenos,1800000.0,1030000.0,-770000.0,-42.77777777777778,1200.0,La Paz Centro,La Paz,Baja California,,,
terrenos,900000.0,550000.0,-350000.0,-38.888888888888886,523.0,Mar De Puerto Nuevo I,Playas De Rosarito,Baja California,,,
terrenos,2400.0,10000.0,7600.0,316.6666666666667,1321.0,Lucio Blanco,Playas De Rosarito,Baja California,21320.0,32.6087379455566,-115.4990310668945
terrenos,2400.0,10000.0,7600.0,316.6666666666667,1321.0,Lucio Blanco,Playas De Rosarito,Baja California,22706.0,32.3805351257324,-117.0514984130859
terrenos,160.0,10000.0,9840.0,6150.0,450000.0,Maríana,Mexicali,Baja California,,,
terrenos,1400000.0,480000.0,-920000.0,-65.71428571428571,200.0,Fraccionamiento Los Tabachines,La Paz,Baja California,,,
terrenos,2805000.0,2430000.0,-375000.0,-13.36898395721925,1503.0,Santa Catarina,Los Cabos,Baja California,22967.0,29.5839977264404,-115.2399139404297
terrenos,2805000.0,2430000.0,-375000.0,-13.36898395721925,1503.0,Santa Catarina,Los Cabos,Baja California,22967.0,29.5839977264404,-115.2399139404297
terrenos,1844500.0,1250000.0,-594500.0,-32.230956898888586,1054.0,Campestre,La Paz,Baja California,,,
terrenos,350000.0,480000.0,130000.0,37.142857142857146,200.0,Campestre,La Paz,Baja California,,,
terrenos,1641500.0,1190000.0,-451500.0,-27.50533049040512,938.0,Campestre,La Paz,Baja California,,,
terrenos,3742920.0,2110000.0,-1632920.0,-43.626900922274594,480.0,Cuenca Lechera,Playas De Rosarito,Baja California,22746.0,32.1227722167969,-116.883903503418
terrenos,500000.0,480000.0,-20000.0,-4.0000000000000036,200.0,Misión Del Mar II,Playas De Rosarito,Baja California,,,
terrenos,25604000.0,18180000.0,-7424000.0,-28.995469457897205,3425.0,Chapultepec,Ensenada,Baja California,21723.0,32.3428611755371,-115.0167083740234
terrenos,25604000.0,18180000.0,-7424000.0,-28.995469457897205,3425.0,Chapultepec,Ensenada,Baja California,22020.0,32.5071754455566,-117.0099029541016
terrenos,25604000.0,18180000.0,-7424000.0,-28.995469457897205,3425.0,Chapultepec,Ensenada,Baja California,22785.0,31.8119716644287,-116.5989532470703
terrenos,25604000.0,18180000.0,-7424000.0,-28.995469457897205,3425.0,Chapultepec,Ensenada,Baja California,22870.0,31.8623447418213,-116.6555404663086
terrenos,1239000.0,1420000.0,181000.0,14.608555286521385,708.0,Campestre,La Paz,Baja California,,,
terrenos,6548500.0,7440000.0,891500.0,13.61380468809652,3742.0,Campestre,La Paz,Baja California,,,
terrenos,200.0,10000.0,9800.0,4900.0,580000.0,Valle Redondo,Tijuana,Baja California,22335.0,32.5193061828613,-116.7770843505859
terrenos,700000.0,700000.0,0.0,0.0,1167.0,Primera Sección,Ensenada,Baja California,21100.0,32.6615371704102,-115.4731216430664
terrenos,700000.0,700000.0,0.0,0.0,1167.0,Primera Sección,Ensenada,Baja California,21850.0,31.0267295837402,-114.8407135009766
terrenos,700000.0,700000.0,0.0,0.0,1167.0,Primera Sección,Ensenada,Baja California,22880.0,31.8557434082031,-116.6051025390625
terrenos,784436.0,2260000.0,1475564.0,188.10508441733936,3235.0,Santa Monica,Mexicali,Baja California,,,
terrenos,33000000.0,2520000.0,-30480000.0,-92.36363636363636,130000.0,Fraccionamiento Plan Hidráulico,La Paz,Baja California,,,
terrenos,2617400.0,2069999.9999999998,-547400.0000000002,-20.913884007029882,327.0,Real Del Mar,Tijuana,Baja California,,,
terrenos,3055660.0,1160000.0,-1895660.0,-62.03766125812427,381.0,Real Del Mar,Tijuana,Baja California,,,
