ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Disposición,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,DisposiciÃ³n,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Acceso,Disposición del lote
1422901618,veracruz,casa,https://casa.metroscubicos.com/MLM-1422901618-casa-en-venta-en-parque-veracruz-_JM,"$3,200,000",San Andrés Cholula,Lomas de Angelópolis,120 m²,205 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,,,
1405662199,veracruz,hermosa,https://casa.metroscubicos.com/MLM-1405662199-hermosa-vivienda-precio-por-debajo-de-avaluo-a-negociar-_JM,"$6,300,000",Xalapa,Veracruz,1650 m²,450 m²,,3,5,6,1,2,Norte,5 años,,,,,,,,,,,,,,,,,,
1317016762,veracruz,vendo,https://casa.metroscubicos.com/MLM-1317016762-vendo-casa-nueva-en-privado-cerca-del-centro-de-cordoba-_JM,"$990,000",Córdoba,Villa De Las Flores,130 m²,150 m²,,3,2,2,,,,,,,,,,,,,,,,,,,,,,
1408859253,veracruz,casa,https://casa.metroscubicos.com/MLM-1408859253-casa-vicario-nueva-con-roof-garden-y-4-habitaciones-_JM,"$3,398,000",Orizaba,Barrio Nuevo,185 m²,260 m²,2,4,6,2,1,3,,0 años,,,,,,,,,,,,,,,,,,
1317489064,veracruz,hermosa,https://casa.metroscubicos.com/MLM-1317489064-hermosa-casa-nueva-estilo-unico-y-diferente-en-cordoba-_JM,"$2,190,000",Córdoba,Jardines De La Alameda,240 m²,180 m²,,3,2,3,,,,,,,,,,,,,,,,,,,,,,
1410391033,veracruz,casa,https://casa.metroscubicos.com/MLM-1410391033-casa-en-esquina-lado-sombra-por-el-centro-zona-tranquila-_JM,"$1,790,000",Veracruz,Virgilio Uribe,77 m²,150 m²,,4,2,,1,2,Sur,,,,,,,,,,,,,,,,,,,
1422239544,veracruz,venta,https://casa.metroscubicos.com/MLM-1422239544-venta-casa-animas-xalapa-4-pisos-casa-y-oficina-residencial-atras-de-ux-cerca-de-plaza-americas-fiesta-inn-hospital-angeles-mejor-zona-donde-vivir-en-xalapa-seguridad-_JM,"$2,980,000",Xalapa,Acueducto Animas,105 m²,330 m²,2,7,4,2,1,,Sur,15 años,,,,,,,,,,,,,,,,,,
1410539174,veracruz,playas,https://casa.metroscubicos.com/MLM-1410539174-playas-del-conchal-casa-en-venta-excelente-oportunidad-4-recamaras-_JM,"$2,800,000",Alvarado,Playas del Conchal,325 m²,325 m²,,4,3,2,,,,7 años,0 MXN,,,,,,,,,,,,,,,,,
1410589895,veracruz,tiburon,https://casa.metroscubicos.com/MLM-1410589895-tiburon-casa-en-venta-con-3-recamaras-alberca-con-diseno-original-y-paneles-solares-_JM,"$5,400,000",Alvarado,Punta Tiburón,285 m²,,,3,3,2,,2,,1 años,0 MXN,,,,,,,,,,,,,,,,,
1413348899,veracruz,residencial,https://casa.metroscubicos.com/MLM-1413348899-residencial-villa-de-llanes-casas-en-pre-venta-a-dos-min-de-la-playa-_JM,"$2,100,000",Boca Del Río,El Morro,140 m²,,,3,2,1,,2,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1418862202,veracruz,casa,https://casa.metroscubicos.com/MLM-1418862202-casa-en-venta-fracc-floresta-cuenta-con-2-recamaras-en-pb-_JM,"$2,400,000",Veracruz,Floresta,250 m²,243 m²,,5,4,2,,2,Oriente,,,,,,,,,,,,,,,,,,,
