ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Antigüedad,Cantidad de pisos,Orientación,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Bodegas,Tipo de casa,Tipo de propiedad,Departamentos por piso,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1422871355,zacatecas,casa,https://casa.metroscubicos.com/MLM-1422871355-casa-en-venta-en-p-zacatecas-_JM,"$7,000,000",San Andrés Cholula,Lomas de Angelópolis,170 m²,320 m²,11,4,6,2,4 años,,,,,,,,,,,,,,,,,
1418643324,zacatecas,magnifica,https://casa.metroscubicos.com/MLM-1418643324-magnifica-casa-seminueva-_JM,"$3,330,000",Guadalupe,Lomas del Pedregal,160 m²,220 m²,,3,3,3,,,,,,,,,,,,,,,,,,
1423884385,zacatecas,casa,https://casa.metroscubicos.com/MLM-1423884385-casa-con-departamento-independiente-en-frente-popular-zacatecas-_JM,"$1,200,000",Zacatecas,Frente Popular,131 m²,201 m²,,4,2,,,2,,,,,,,,,,,,,,,,
1422914202,zacatecas,casa,https://casa.metroscubicos.com/MLM-1422914202-casa-en-venta-en-parque-zacatecas-_JM,"$4,870,000",San Andrés Cholula,Lomas de Angelópolis,184 m²,318 m²,9,4,4,3,0 años,,,,,,,,,,,,,,,,,
1424289983,zacatecas,casa,https://casa.metroscubicos.com/MLM-1424289983-casa-nueva-en-la-fe-guadalupe-zacatecas-_JM,"$1,499,000",Guadalupe,La Fé,115 m²,109 m²,,3,2,1,,,,,,,,,,,,,,,,,,
1423899917,zacatecas,casa,https://casa.metroscubicos.com/MLM-1423899917-casa-amplia-de-dos-plantas-con-locales-para-comercio-en-venta-en-villa-garcia-zacatecas-_JM,"$1,500,000",Zacatecas,Villa García,399 m²,310 m²,7,2,1,,24 años,2,Poniente,0 MXN,,,,,,,,,,,,,,
1423903369,zacatecas,casa,https://casa.metroscubicos.com/MLM-1423903369-casa-nueva-en-fracc-arquitectos-zacatecas-_JM,"$560,000",Zacatecas,Otra Colonia,94 m²,55 m²,,2,1,1,0 años,,,,,,,,,,,,,,,,,
1425955250,zacatecas,casa,https://casa.metroscubicos.com/MLM-1425955250-casa-sola-en-venta-las-haciendas-_JM,"$960,000",Zacatecas,Las Haciendas,126 m²,66 m²,,3,1,,22 años,,,,,,,,,,,,,,,,,
1424456317,zacatecas,amplia,https://casa.metroscubicos.com/MLM-1424456317-amplia-casa-en-quinta-san-gabriel-guadalupe-zacatecas-_JM,"$1,250,000",Guadalupe,Otra Colonia,90 m²,174 m²,,3,2,1,,2,,,,,,,,,,,,,,,,
1426569883,zacatecas,casa,https://casa.metroscubicos.com/MLM-1426569883-casa-recien-remodelada-en-tierra-y-libertad-1a-seccion-guadalupe-zacatecas-_JM,"$890,000",Guadalupe,Tierra Y Libertad 1,112 m²,130 m²,,2,2,1,,2,,,,,,,,,,,,,,,,
1426582989,zacatecas,finca,https://casa.metroscubicos.com/MLM-1426582989-finca-antigua-en-la-av-5-senores-en-zacatecas-_JM,"$1,500,000",Zacatecas,Cinco Señores,254 m²,107 m²,,5,2,,,,,,,,,,,,,,,,,,,
1426595519,zacatecas,casa,https://casa.metroscubicos.com/MLM-1426595519-casa-en-villas-mariana-guadalupe-zacatecas-_JM,"$750,000",Guadalupe,Villas Mariana,90 m²,90 m²,,2,2,1,,2,,,,,,,,,,,,,,,,
1424252292,zacatecas,casa,https://casa.metroscubicos.com/MLM-1424252292-casa-nueva-en-jardines-del-sol-zacatecas-_JM,"$830,000",Zacatecas,Jardines Del Sol,105 m²,73 m²,,2,1,1,,1,,,,,,,,,,,,,,,,
1423883913,zacatecas,casa,https://casa.metroscubicos.com/MLM-1423883913-casa-en-jardines-de-sauceda-guadalupe-zacatecas-_JM,"$427,000",Guadalupe,Guadalupe,60 m²,41 m²,,1,1,1,,2,,,,,,,,,,,,,,,,
1426538031,zacatecas,casa,https://casa.metroscubicos.com/MLM-1426538031-casa-en-el-centro-de-guadalupe-zacatecas-_JM,"$2,000,000",Guadalupe,Otra Colonia,110 m²,240 m²,,3,2,1,,,,,,,,,,,,,,,,,,
1426589366,zacatecas,casa,https://casa.metroscubicos.com/MLM-1426589366-casa-en-la-col-primavera-guadalupe-zacatecas-_JM,"$995,000",Guadalupe,Otra Colonia,105 m²,182 m²,,3,3,2,,2,,,,,,,,,,,,,,,,
1424720413,zacatecas,casa,https://casa.metroscubicos.com/MLM-1424720413-casa-rancho-o-rancheria-el-centro-_JM,"$1,415,000",Jerez,El Centro,120 m²,120 m²,3,3,2,1,0 años,,Norte,0 MXN,,,,,,,,,,,,,,
1426589471,zacatecas,casa,https://casa.metroscubicos.com/MLM-1426589471-casa-con-local-en-tonatiuh-magisterial-guadalupe-zacatecas-_JM,"$1,400,000",Guadalupe,Otra Colonia,135 m²,270 m²,,3,2,1,,,,,,,,,,,,,,,,,,
1424419519,zacatecas,casa,https://casa.metroscubicos.com/MLM-1424419519-casa-en-la-fe-guadalupe-zacatecas-_JM,"$1,698,000",Guadalupe,La Fé,91 m²,124 m²,,3,2,2,,,,,,,,,,,,,,,,,,
1362994445,zacatecas,casas,https://casa.metroscubicos.com/MLM-1362994445-casas-en-venta-en-lomas-de-bernardez-guadalupe-_JM,"$16,000,000",Guadalupe,Lomas De Bernardez,790 m²,800 m²,,4,4,,,,,,,,,,,,,,,,,,,
1356324585,zacatecas,casa,https://casa.metroscubicos.com/MLM-1356324585-casa-sola-en-venta-buenos-aires-_JM,"$1,100,000",Zacatecas,Fresnillo,247 m²,195 m²,,3,1,,0 años,,,,,,,,,,,,,,,,,
1355543478,zacatecas,casa,https://casa.metroscubicos.com/MLM-1355543478-casa-bastante-segura-con-patio-de-servicio-con-reja-de-proteccionpara-infonavit-_JM,"$650,000",Fresnillo,Muralista,99 mÂ²,63 mÂ²,1,,,1,,1,,0 MXN,1,1,Norte,14 aÃ±os,,,,,,,,,,
765427336,zacatecas,casa,https://casa.metroscubicos.com/MLM-765427336-casa-en-venta-en-parque-zacatecas-_JM,"$4,350,000",San Andrés Cholula,Lomas de Angelópolis,180 m²,300 m²,10,4,4,2,0 años,,,,,,,,,,,,,,,,,
1401286295,zacatecas,residencia,https://casa.metroscubicos.com/MLM-1401286295-residencia-en-venta-fracc-bosque-de-las-cumbres-_JM,"$3,180,000",Zacatecas,Colinas Del Padre,120 m²,220 m²,,3,3,2,0 años,3,,,,,,,,,,,,,,,,
1326039152,zacatecas,casa,https://casa.metroscubicos.com/MLM-1326039152-casa-de-4-recamaras-con-alberca-cocina-integral-organizadores-en-los-closets-_JM,"$1,700,000",Guadalupe,Otra Colonia,177 m²,80 m²,,4,2,2,11 años,,,,,,,,,,,,,,,,,
924361682,zacatecas,casa,https://casa.metroscubicos.com/MLM-924361682-casa-en-venta-ampl-lopez-mateos-sombrerete-zacatecas-_JM,"$2,500,000",Sombrerete,Sombrerete,400 m²,342 m²,,3,3,2,10 años,,,,,,,,,,,,,,,,,
