ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,OrientaciÃ³n,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Tipo de departamento,Disposición del lote
1425529740,baja-california,casa,https://casa.metroscubicos.com/MLM-1425529740-casa-en-ejido-francisco-villa-2a-seccion-tijuana-con-5-recamaras-100-m-id-64978-_JM,"$1,100,000",Tijuana,Ejido Francisco Villa 2a Sección,200 m²,100 m²,5,5,2,1,,,Sur,15 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425462222,baja-california,casa,https://casa.metroscubicos.com/MLM-1425462222-casa-en-camino-verde-canada-verde-tijuana-con-4-recamaras-350-m-id-73856-_JM,"$1,700,000",Baja California,Tijuana,225 m²,350 m²,4,4,3,2,1,,Este,15 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425449631,baja-california,casa,https://casa.metroscubicos.com/MLM-1425449631-casa-en-hidalgo-tijuana-con-4-recamaras-374-m-id-67485-_JM,"$6,355,000",Tijuana,Hidalgo,200 m²,374 m²,4,4,4,8,,,Sur,1 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425456344,baja-california,casa,https://casa.metroscubicos.com/MLM-1425456344-casa-en-lomas-de-rosarito-rosarito-con-5-recamaras-346-m-id-69298-_JM,"$8,630,526",Playas De Rosarito,Lomas De Rosarito,270 m²,346 m²,5,5,3,3,,,,12 años,440 MXN,,,,Casa,,,,,,,,,,,,,
1425542425,baja-california,casa,https://casa.metroscubicos.com/MLM-1425542425-casa-en-playas-de-tijuana-seccion-costa-hermosa-tijuana-con-3-recamaras-180-m-id-72292-_JM,"$5,500,000",Tijuana,Playas de Tijuana Sección Costa Hermosa,185 m²,180 m²,3,3,3,2,,,Oeste,25 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425516657,baja-california,casa,https://casa.metroscubicos.com/MLM-1425516657-casa-en-ejido-lazaro-cardenas-tijuana-con-5-recamaras-300-m-id-64352-_JM,"$5,200,000",Tijuana,Ejido Lázaro Cárdenas,1000 m²,300 m²,5,5,4,2,1,,Oeste,42 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425561878,baja-california,casa,https://casa.metroscubicos.com/MLM-1425561878-casa-en-urbi-quinta-del-cedro-tijuana-con-4-recamaras-97-m-id-64022-_JM,"$2,200,000",Tijuana,Urbi Quinta Del Cedro,150 m²,97 m²,4,4,3,2,,,Oeste,12 años,400 MXN,,,,Casa,,,,,,,,,,,,,
1425529403,baja-california,casa,https://casa.metroscubicos.com/MLM-1425529403-casa-en-las-villas-tijuana-tijuana-con-3-recamaras-207-m-id-71770-_JM,"$4,685,000",Tijuana,Las Villas Tijuana,162 m²,207 m²,3,3,2,2,,,Sur,12 años,300 MXN,,,,Casa,,,,,,,,,,,,,
1425462445,baja-california,casa,https://casa.metroscubicos.com/MLM-1425462445-casa-en-porticos-de-san-antonio-tijuana-con-3-recamaras-130-m-id-74953-_JM,"$2,550,000",Tijuana,Porticos De San Antonio,130 m²,130 m²,3,3,2,2,,,Sur,12 años,0 MXN,,,,Casa,,,,,,,,,,,,,
1425456236,baja-california,casa,https://casa.metroscubicos.com/MLM-1425456236-casa-en-mineral-de-santa-fe-tijuana-con-2-recamaras-350-m-id-68248-_JM,"$7,000,000",Tijuana,Mineral de Santa Fe,200 m²,350 m²,2,2,3,3,,,Sur,12 años,0 MXN,,,,Casa,,,,,,,,,,,,,
