ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad,Tipo de departamento,Fecha de entrega
1422751385,estado-de-méxico,residencia,https://casa.metroscubicos.com/MLM-1422751385-residencia-en-condominio-venta-con-jardin-privado-lomas-de-t-_JM,"$17,900,000",Naucalpan,Lomas De Tecamachalco,282 mÂ²,9,,,5,,,,470 mÂ²,3,4,11 aÃ±os,,,,,,,,,,,,,,,,,,
1425437311,estado-de-méxico,casa,https://casa.metroscubicos.com/MLM-1425437311-casa-en-rincon-colonial-atizapan-de-zaragoza-con-3-recamaras-212-m-id-46177-_JM,"$4,800,000",Atizapán De Zaragoza,Rincón Colonial,190 m²,3,3,2,3,,51 años,0 MXN,212 m²,,,,Sur,,,,,,,,,,,,,,Casa,,,
1425430294,estado-de-méxico,casa,https://casa.metroscubicos.com/MLM-1425430294-casa-en-rancho-castro-atizapan-de-zaragoza-con-3-recamaras-520-m-id-68220-_JM,"$11,500,000",AtizapÃ¡n De Zaragoza,Rancho Castro,300 mÂ²,3,,,4,,,1400 MXN,520 mÂ²,3,4,1 aÃ±os,,1,,,,,,,,,,Norte,,,Casa,,,
1425469471,estado-de-méxico,casa,https://casa.metroscubicos.com/MLM-1425469471-casa-en-ciudad-brisa-naucalpan-de-juarez-con-4-recamaras-286-m-id-45507-_JM,"$6,950,000",Naucalpan,Ciudad Brisa,250 mÂ²,4,,,3,,,0 MXN,286 mÂ²,4,3,12 aÃ±os,,1,,,,,,,,,,Norte,,,Casa,,,
1425516875,estado-de-méxico,casa,https://casa.metroscubicos.com/MLM-1425516875-casa-en-san-miguel-xochimanga-atizapan-de-zaragoza-con-4-recamaras-356-m-id-73060-_JM,"$8,500,000",Atizapán De Zaragoza,San Miguel Xochimanga,406 m²,4,4,4,6,,7 años,200 MXN,356 m²,,,,Este,1,,,,,,,,,,,,,Casa,,,
1425523433,estado-de-méxico,casa,https://casa.metroscubicos.com/MLM-1425523433-casa-en-club-de-golf-chiluca-atizapan-de-zaragoza-con-3-recamaras-283-m-id-49053-_JM,"$9,000,000",Atizapán De Zaragoza,Club De Golf Chiluca,380 m²,3,3,2,4,,21 años,0 MXN,283 m²,,,,Norte,1,,,,,,,,,,,,,Casa,,,
1425449855,estado-de-méxico,casa,https://casa.metroscubicos.com/MLM-1425449855-casa-en-lomas-verdes-naucalpan-de-juarez-con-3-recamaras-500-m-id-60665-_JM,"$12,600,000",Naucalpan,Lomas Verdes,287 m²,3,3,3,3,,7 años,1340 MXN,500 m²,,,,Oeste,,,,,,,,,,,,,,Casa,,,
1425417038,estado-de-méxico,casa,https://casa.metroscubicos.com/MLM-1425417038-casa-en-pedregal-de-echegaray-naucalpan-de-juarez-con-5-recamaras-710-m-id-41041-_JM,"$16,000,000",Naucalpan,Pedregal De Echegaray,535 mÂ²,5,,,5,,,0 MXN,710 mÂ²,5,3,12 aÃ±os,,1,,,,,,,,,,Sur,,,Casa,,,
1425562114,estado-de-méxico,casa,https://casa.metroscubicos.com/MLM-1425562114-casa-en-san-jose-ixhuatepec-tlalnepantla-de-baz-con-4-recamaras-442-m-id-72885-_JM,"$6,600,000",Tlalnepantla de Baz,San José Ixhuatepec,238 m²,4,4,2,4,,12 años,1 MXN,442 m²,,,,,1,,,,,,,,,,,,,Casa,,,
1425549106,estado-de-méxico,casa,https://casa.metroscubicos.com/MLM-1425549106-casa-en-jardines-bellavista-tlalnepantla-de-baz-con-3-recamaras-120-m-id-56922-_JM,"$5,900,000",Tlalnepantla de Baz,Jardines Bellavista,273 m²,3,3,2,1,,42 años,500 MXN,120 m²,,,,Oeste,1,,,,,,,,,,,,,Casa,,,
