ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Superficie construida,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Orientación,Bodegas,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,Acceso,Metros de frente,Metros de fondo,DisposiciÃ³n del lote,Forma del terreno,OrientaciÃ³n,DisposiciÃ³n,Disposición del lote,Tipo de casa,NÃºmero de piso de la unidad,Tipo de departamento,Fecha de entrega,Huéspedes,Admite mascotas,Tipo de bodega,NÃºmero de oficinas,Altura,Superficie cubierta del casco,Número de oficinas,Plataformas para trailers
1426431305,guanajuato,preventa,https://casa.metroscubicos.com/MLM-1426431305-preventa-la-cayetana-modelo-a-_JM,"$5,400,000",San Miguel De Allende,Corral De Piedras De Arriba,300 m²,8,3,3,3,,0 años,,318 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422819188,guanajuato,casa,https://casa.metroscubicos.com/MLM-1422819188-casa-en-venta-en-parque-guanajuato-3-habitaciones-_JM,"$5,800,000",San Andrés Cholula,Lomas de Angelópolis,519 m²,,3,3,2,3,,,310 m²,,,,Norte,,,,,,,,,,,,,,,,,,,,,,,,,
1404587534,guanajuato,gran,https://casa.metroscubicos.com/MLM-1404587534-gran-oportunidad-_JM,"$360,000",León,Brisas del Campestre,70 m²,,2,1,1,,,,70 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359598871,guanajuato,leon,https://casa.metroscubicos.com/MLM-1359598871-leon-moderno-muy-amplia-_JM,"$3,800,000",León,León Moderno,300 m²,,55,5,3,2,30 años,,300 m²,,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,
1420917788,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420917788-casa-de-campo-para-descansar-increibles-vistas-y-espacios-_JM,"$4,850,000",San Miguel De Allende,La Vivienda de Arriba,2000 mÂ²,9,,,10,,,,321 mÂ²,5,3,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420946790,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420946790-casa-elia-en-venta-ubicada-en-club-de-golf-malanquin-en-san-_JM,"U$S730,000",San Miguel De Allende,Malaquin La Mesa,450 mÂ²,10,,,2,,,,510 mÂ²,4,4,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420929119,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420929119-casa-en-venta-residencial-casa-luna-excelente-ubicacion-s-_JM,"U$S259,000",San Miguel De Allende,Arcos De San Miguel,167 m²,7,3,2,2,,0 años,,191 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316486900,guanajuato,jardines,https://casa.metroscubicos.com/MLM-1316486900-jardines-de-santa-julia-oportunidad-_JM,"$1,480,000",León,Jardines De Santa Julia,68 m²,,3,3,1,3,9 años,,190 m²,,,,Norte,,,,,,,,,,,,,,,,,,,,,,,,,
1420952927,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420952927-casa-en-venta-residencial-casa-luna-excelente-ubicacion-s-_JM,"U$S299,000",San Miguel De Allende,Arcos De San Miguel,167 m²,6,2,2,2,,0 años,,249 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415900543,guanajuato,casa,https://casa.metroscubicos.com/MLM-1415900543-casa-venta-precio-oportunidad-privada-residencial-villas-del-campestre-zona-norte-leon-gto-_JM,"$5,300,000",Guanajuato,León,491 m²,3,4,4,3,2,0 años,1050 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415864018,guanajuato,casa,https://casa.metroscubicos.com/MLM-1415864018-casa-venta-privada-3-recamaras-fraccionamiento-real-de-las-palmas-leon-gto-_JM,"$1,120,000",León,Real de Las Palmas,67 m²,,3,3,1,2,4 años,0 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415888882,guanajuato,casa,https://casa.metroscubicos.com/MLM-1415888882-casa-venta-3-recamaras-frente-casa-club-avenida-paseos-de-la-fragua-zona-norte-leon-gto-_JM,"$900,000",Guanajuato,LeÃ³n,77 mÂ²,,,,1,2,,0 MXN,,3,1,8 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420996328,guanajuato,la,https://casa.metroscubicos.com/MLM-1420996328-la-mansion-de-rancho-la-loma-en-venta-en-san-miguel-de-allen-_JM,"U$S4,950,000",San Miguel De Allende,RancherÃ­a La Loma,58539 mÂ²,14,,,10,,,,2029 mÂ²,7,7,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
957174194,guanajuato,las,https://casa.metroscubicos.com/MLM-957174194-las-trojes-muy-amplia-y-centrica-_JM,"$1,200,000",León,Las Trojes,72 m²,,3,2,1,2,25 años,,140 m²,,,,Oriente,,,,,,,,,,,,,,,,,,,,,,,,,
1416403464,guanajuato,casa,https://casa.metroscubicos.com/MLM-1416403464-casa-venta-amplia-3-recamaras-cuarto-de-servicio-jardin-amplio-gran-jardin-zona-norte-leon-gto-_JM,"$5,900,000",León,Gran Jardín,397 m²,,4,3,2,2,0 años,0 MXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399573484,guanajuato,casa,https://casa.metroscubicos.com/MLM-1399573484-casa-en-venta-sierra-nogal-residencial-_JM,"$3,200,000",León,Sierra Nogal Residencial,170 m²,5,3,3,2,2,2 años,750 MXN,215 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420952904,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420952904-casa-celina-en-venta-col-san-luis-rey-en-san-miguel-de-all-_JM,"$2,200,000",San Miguel De Allende,San Luis Rey,200 mÂ²,5,,,,,,,160 mÂ²,3,2,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420952934,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420952934-casa-de-los-suenos-en-venta-colonia-centro-en-san-miguel-de-_JM,"U$S585,000",San Miguel De Allende,San Miguel De Allende Centro,936 m²,5,2,2,1,,0 años,,215 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420990370,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420990370-casa-ladrillera-en-venta-colonia-centro-en-san-miguel-de-al-_JM,"U$S2,750,000",San Miguel De Allende,San Miguel De Allende Centro,762 m²,12,5,5,1,,0 años,,587 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420996301,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420996301-casa-carrizo-con-bungalo-y-departamento-en-venta-en-atotonil-_JM,"$12,000,000",San Miguel De Allende,Santuario de Atotonilco,3000 m²,9,4,4,1,,0 años,,378 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420911280,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420911280-casa-de-lujo-en-venta-el-mirador-en-san-miguel-de-allende-_JM,"U$S995,000",San Miguel De Allende,El Mirador,1265 m²,12,4,7,3,,0 años,,724 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420929140,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420929140-casa-el-capricho-en-venta-fracc-el-capricho-en-san-miguel-_JM,"U$S290,000",San Miguel De Allende,Malaquin La Mesa,187 m²,8,4,4,2,,0 años,,198 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420911278,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420911278-casa-canada-32-en-venta-fraccionamiento-las-brisas-en-san-m-_JM,"$3,700,000",San Miguel De Allende,Las Brisas,90 mÂ²,8,,,,,,,207 mÂ²,3,3,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420935486,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420935486-casa-frida-en-venta-fracc-rancho-los-labradores-en-san-mig-_JM,"U$S545,000",San Miguel De Allende,Rancho los Labradores,1158 mÂ²,7,,,2,,,,350 mÂ²,3,3,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420935484,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420935484-casa-canada-34-en-venta-fraccionamiento-las-brisas-en-san-m-_JM,"$3,850,000",San Miguel De Allende,Las Brisas,90 mÂ²,7,,,,,,,219 mÂ²,3,2,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1420941314,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420941314-casa-puesta-del-sol-en-venta-fracc-los-frailes-en-san-migu-_JM,"$7,500,000",San Miguel De Allende,Villa De Los Frailes,510 mÂ²,10,,,,,,,290 mÂ²,5,5,0 aÃ±os,,,,,,,,,,,,,,,,,,,,,,,,,,
1421002612,guanajuato,casa,https://casa.metroscubicos.com/MLM-1421002612-casa-kahlo-en-venta-col-san-rafael-en-san-miguel-de-allend-_JM,"U$S229,000",San Miguel De Allende,San Rafael Insurgentes,102 m²,8,5,3,,,0 años,,158 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420990364,guanajuato,casa,https://casa.metroscubicos.com/MLM-1420990364-casa-moderna-oriente-en-venta-fracc-el-capricho-en-san-mig-_JM,"$4,800,000",San Miguel De Allende,Malaquin La Mesa,300 m²,7,3,3,2,,0 años,,265 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
