ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote
1425430560,jalisco,casa,https://casa.metroscubicos.com/MLM-1425430560-casa-en-bosques-vallarta-zapopan-con-5-recamaras-905-m-id-61976-_JM,"$22,000,000",Zapopan,Bosques Vallarta,1071 m²,905 m²,5,5,8,4,1,Casa,Norte,13 años,5860 MXN,,,,,,,,,,,,,,,,,
1425424184,jalisco,casa,https://casa.metroscubicos.com/MLM-1425424184-casa-en-fraccionamiento-valle-de-bugambilias-zapopan-con-3-recamaras-220-m-id-70339-_JM,"$5,000,000",Jalisco,Zapopan,231 m²,220 m²,3,3,3,2,,Casa,,3 años,800 MXN,,,,,,,,,,,,,,,,,
1425424621,jalisco,casa,https://casa.metroscubicos.com/MLM-1425424621-casa-en-cortijo-de-san-agustin-tlajomulco-de-zuniga-con-3-recamaras-89-m-id-71238-_JM,"$1,950,000",Tlajomulco De Zúñiga,Cortijo De San Agustin,89 m²,89 m²,3,3,2,2,,Casa,,1 años,750 MXN,,,,,,,,,,,,,,,,,
1425548722,jalisco,casa,https://casa.metroscubicos.com/MLM-1425548722-casa-en-san-juan-bosco-guadalajara-con-4-recamaras-176-m-id-71682-_JM,"$2,300,000",Guadalajara,San Juan Bosco,100 m²,176 m²,4,4,2,1,1,Casa,,22 años,0 MXN,,,,,,,,,,,,,,,,,
1425475362,jalisco,casa,https://casa.metroscubicos.com/MLM-1425475362-casa-en-los-gavilanes-zapopan-con-4-recamaras-383-m-id-67214-_JM,"$9,300,000",Jalisco,Zapopan,633 m²,383 m²,4,4,5,3,1,Casa,Norte,11 años,0 MXN,,,,,,,,,,,,,,,,,
1425443003,jalisco,casa,https://casa.metroscubicos.com/MLM-1425443003-casa-en-villa-la-victoria-guadalajara-con-5-recamaras-465-m-id-66873-_JM,"$10,000,000",Guadalajara,Villa La Victoria,464 m²,465 m²,5,5,4,4,1,Casa,,39 años,1 MXN,,,,,,,,,,,,,,,,,
1425449737,jalisco,casa,https://casa.metroscubicos.com/MLM-1425449737-casa-en-san-francisco-zapopan-con-3-recamaras-645-m-id-59948-_JM,"$26,500,000",Zapopan,San Francisco,1045 m²,645 m²,3,3,3,6,1,Casa,Oeste,14 años,6660 MXN,,,,,,,,,,,,,,,,,
1425417691,jalisco,casa,https://casa.metroscubicos.com/MLM-1425417691-casa-en-ciudad-del-sol-zapopan-con-4-recamaras-338-m-id-61478-_JM,"$12,500,000",Zapopan,Ciudad Del Sol,400 m²,338 m²,4,4,4,4,,Casa,,42 años,550 MXN,,,,,,,,,,,,,,,,,
1425574892,jalisco,casa,https://casa.metroscubicos.com/MLM-1425574892-casa-en-residencial-victoria-guadalajara-con-4-recamaras-365-m-id-72580-_JM,"$7,900,000",Guadalajara,Residencial Victoria,317 m²,365 m²,4,4,3,4,,Casa,,34 años,0 MXN,,,,,,,,,,,,,,,,,
1425417355,jalisco,casa,https://casa.metroscubicos.com/MLM-1425417355-casa-en-el-manantial-tlajomulco-de-zuniga-con-5-recamaras-450-m-id-75414-_JM,"$13,900,000",Tlajomulco De Zúñiga,El Manantial,278 m²,450 m²,5,5,6,4,,Casa,,12 años,1500 MXN,,,,,,,,,,,,,,,,,
1425424273,jalisco,casa,https://casa.metroscubicos.com/MLM-1425424273-casa-en-italia-providencia-guadalajara-con-4-recamaras-275-m-id-70559-_JM,"$7,000,000",Guadalajara,Italia Providencia,228 m²,275 m²,4,4,3,2,1,Casa,Sur,39 años,0 MXN,,,,,,,,,,,,,,,,,
1425561807,jalisco,casa,https://casa.metroscubicos.com/MLM-1425561807-casa-en-del-fresno-1a-seccion-guadalajara-con-3-recamaras-90-m-id-71883-_JM,"$1,600,000",Guadalajara,Del Fresno 1a. Sección,100 m²,90 m²,3,3,2,1,,Casa,,29 años,1 MXN,,,,,,,,,,,,,,,,,
1425442826,jalisco,casa,https://casa.metroscubicos.com/MLM-1425442826-casa-en-villas-mariano-otero-zapopan-con-2-recamaras-143-m-id-73952-_JM,"$1,530,000",Zapopan,Villas Mariano Otero,73 m²,143 m²,2,2,2,1,,Casa,,15 años,250 MXN,,,,,,,,,,,,,,,,,
1426261956,jalisco,casa,https://casa.metroscubicos.com/MLM-1426261956-casa-en-tonala-centro-tonala-con-4-recamaras-136-m-id-79623-_JM,"$2,100,000",Tonala,Tonala Centro,125 m²,200 m²,4,4,2,1,,Casa,,18 años,0 MXN,,,,,,,,,,,,,,,,,
