ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Bodegas,Tipo de casa,Orientación,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,Cantidad de pisos,Tipo de propiedad,OrientaciÃ³n,Tipo de departamento,Departamentos por piso,Número de piso de la unidad,NÃºmero de piso de la unidad,Disposición,Acceso,Forma del terreno,DisposiciÃ³n del lote,Metros de frente,Metros de fondo,Disposición del lote,DisposiciÃ³n
1425994452,morelos,hermosa,https://casa.metroscubicos.com/MLM-1425994452-hermosa-casa-remodelada-a-orilla-del-lago-_JM,"$4,990,000",Jojutla,Tequesquitengo,464 m²,130 m²,6,3,2,2,,,,15 años,,,,,,,,,,,,,,,,,,,
1425987807,morelos,magnifica,https://casa.metroscubicos.com/MLM-1425987807-magnifica-casa-a-orilla-del-lago-de-tequesquitengo-_JM,"$8,500,000",Jojutla,Tequesquitengo,753 m²,654 m²,11,5,6,5,,,,16 años,,,,,,,,,,,,,,,,,,,
1425994226,morelos,casa,https://casa.metroscubicos.com/MLM-1425994226-casa-nueva-y-remodelada-totalmente-con-acabados-de-alta-cali-_JM,"$2,490,000",Jojutla,Tequesquitengo,90 m²,95 m²,6,3,3,1,,,,5 años,,,,,,,,,,,,,,,,,,,
1425443075,morelos,casa,https://casa.metroscubicos.com/MLM-1425443075-casa-en-nueva-morelos-monterrey-con-5-recamaras-206-m-id-59216-_JM,"$2,400,000",Monterrey,Nueva Morelos,114 m²,206 m²,5,5,2,1,,Casa,,30 años,0 MXN,,,,,,,,,,,,,,,,,,
1426036774,morelos,hermosa,https://casa.metroscubicos.com/MLM-1426036774-hermosa-casa-en-club-nautico-_JM,"$2,350,000",Jojutla,Tequesquitengo,90 m²,95 m²,6,3,2,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1422721234,morelos,casa,https://casa.metroscubicos.com/MLM-1422721234-casa-en-unidad-habitaconal-acolapa-_JM,"$560,000",Tepoztlan,Rinconada De Acolapan,50 mÂ²,47 mÂ²,3,,,1,,,,,,2,1,22 aÃ±os,,,,,,,,,,,,,,,
1422933583,morelos,venta,https://casa.metroscubicos.com/MLM-1422933583-venta-casa-lomas-de-vista-hermosa-a-estrenarse-_JM,"$21,900,000",Cuajimalpa De Morelos,Lomas De Vista Hermosa,220 m²,515 m²,9,4,4,3,,,,0 años,,,,,,,,,,,,,,,,,,,
1423037502,morelos,casa,https://casa.metroscubicos.com/MLM-1423037502-casa-sola-en-delicias-cuernavaca-arc-348-cs-_JM,"$4,000,000",Cuernavaca,Delicias,346 m²,146 m²,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
1425974959,morelos,casa,https://casa.metroscubicos.com/MLM-1425974959-casa-en-fraccionamiento-con-alberca-privada-jacuzzi-seguri-_JM,"$3,900,000",Jojutla,Tequesquitengo,200 m²,160 m²,7,4,2,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1422793772,morelos,casa,https://casa.metroscubicos.com/MLM-1422793772-casa-en-venta-en-cuautla-en-fraccionamiento-_JM,"$2,680,000",Cuautla,Tetelcingo,186 m²,120 m²,6,3,2,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1422980991,morelos,casa,https://casa.metroscubicos.com/MLM-1422980991-casa-sola-en-colonia-ampliacion-3-de-mayo-emiliano-zapata-arc-24-cs-_JM,"$2,500,000",Emiliano Zapata,Colonia Ampliación 3 de Mayo,652 m²,150 m²,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,
1423070350,morelos,casa,https://casa.metroscubicos.com/MLM-1423070350-casa-sola-en-colonia-ampliacion-joyas-de-agua-jiutepec-arc-63-cs-_JM,"U$S1,500,000",Jiutepec,Ampliación Joyas de Agua,4000 m²,784 m²,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,
1426105169,morelos,nuevo,https://casa.metroscubicos.com/MLM-1426105169-nuevo-desarrollo-moderno-de-10-casas-_JM,"$2,470,000",Emiliano Zapata,Lomas de Trujillo,120 m²,202 m²,7,4,3,2,,,,0 años,,,,,,,,,,,,,,,,,,,
1423030512,morelos,casa,https://casa.metroscubicos.com/MLM-1423030512-casa-en-fraccionamiento-en-burgos-temixco-arc-219-fr-_JM,"$4,495,000",Temixco,Burgos,699 m²,482 m²,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
1423044405,morelos,casa,https://casa.metroscubicos.com/MLM-1423044405-casa-sola-en-colonia-centro-jiutepec-jiutepec-arc-29-cs-_JM,"$49,000,000",Jiutepec,Colonia Centro Jiutepec,9873 m²,335 m²,,2,3,6,,,,,,,,,,,,,,,,,,,,,,,
1423076127,morelos,casa,https://casa.metroscubicos.com/MLM-1423076127-casa-sola-en-pueblo-chiconcuac-xochitepec-arc-41-cs-_JM,"$7,000,000",Morelos,Xochitepec,1550 m²,300 m²,,4,4,5,,,,,,,,,,,,,,,,,,,,,,,
1423043513,morelos,casa,https://casa.metroscubicos.com/MLM-1423043513-casa-en-fraccionamiento-en-paraiso-country-club-emiliano-zapata-arc-277-fr-_JM,"$10,000,000",Emiliano Zapata,Paraíso Country Club,452 m²,251 m²,,3,3,7,,,,,,,,,,,,,,,,,,,,,,,
1422702222,morelos,casa,https://casa.metroscubicos.com/MLM-1422702222-casa-en-venta-de-dos-recamaras-entezoyuca-morelos-_JM,"$540,000",Emiliano Zapata,"Las Garzas I, II, III Y IV",33 m²,49 m²,3,2,1,1,,,,15 años,,,,,,,,,,,,,,,,,,,
1423557239,morelos,vendo,https://casa.metroscubicos.com/MLM-1423557239-vendo-hermosa-residencia-tipo-mediterraneo-en-tepoztlan-_JM,"$19,000,000",Tepoztlan,Santo Domingo,3100 m²,650 m²,,5,4,6,1,,Oriente,10 años,,,,,2,,,,,,,,,,,,,,
1425424742,morelos,casa,https://casa.metroscubicos.com/MLM-1425424742-casa-en-jardines-de-la-palma-cuajimalpa-de-morelos-con-2-recamaras-183-m-id-62988-_JM,"$7,990,000",Cuajimalpa De Morelos,Jardines De La Palma,183 m²,183 m²,2,2,3,3,1,Casa,,12 años,0 MXN,,,,,,,,,,,,,,,,,,
654551687,morelos,remate,https://casa.metroscubicos.com/MLM-654551687-remate-de-casa-en-obra-negra-_JM,"$399,000",Huitzilac,3 Marías o 3 Cumbres,250 m²,60 m²,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
