ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Ambientes,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,OrientaciÃ³n,Orientación,Bodegas,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1416253698,nayarit,casa,https://casa.metroscubicos.com/MLM-1416253698-casa-en-venta-en-fraccionamiento-las-ceibas-_JM,"$3,350,000",Nayarit,Bahía De Banderas,126 m²,126 m²,3,2,2,2,0 años,1681 MXN,,,,,,,,,,,,,,,,,,,
1398119544,nayarit,casa,https://casa.metroscubicos.com/MLM-1398119544-casa-ejido-nuevo-vallarta-_JM,"$4,100,000",Bahía De Banderas,Nuevo Vallarta,160 m²,,3,2,2,2,0 años,0 MXN,,,,,,,,,,,,,,,,,,,
1420929122,nayarit,casa,https://casa.metroscubicos.com/MLM-1420929122-casa-agave-azul-a-la-venta-en-bucerias-nayaritresidencia-en-_JM,"U$S475,000",BahÃ­a De Banderas,Bucerias,429 mÂ²,297 mÂ²,,,2,,,,10,4,5,0 aÃ±os,,,,,,,,,,,,,,,
1418308488,nayarit,casa,https://casa.metroscubicos.com/MLM-1418308488-casa-en-venta-en-bucerias-a-pasos-de-la-playa-_JM,"U$S1,100,000",BahÃ­a De Banderas,BucerÃ­as Centro,854 mÂ²,854 mÂ²,,,1,3,,0 MXN,,3,3,1 aÃ±os,Norte,,,,,,,,,,,,,,
1416376240,nayarit,venta,https://casa.metroscubicos.com/MLM-1416376240-venta-casa-fraccionamiento-rincon-del-cielo-verea-_JM,"$2,879,000",Bahía De Banderas,Rincón del Cielo,84 m²,84 m²,2,2,2,,,,5,,,,,,,,,,,,,,,,,,
1399563982,nayarit,casa,https://casa.metroscubicos.com/MLM-1399563982-casa-en-venta-en-residencial-flamingos-nuevo-vallarta-con-a-_JM,"$9,750,000",BahÃ­a De Banderas,Bucerias,673 mÂ²,200 mÂ²,,,2,,,,9,4,4,4 aÃ±os,,,,,,,,,,,,,,,
1393695913,nayarit,casa,https://casa.metroscubicos.com/MLM-1393695913-casa-con-vista-al-mar-en-la-cruz-de-huanacaxtle-vallarta-gardens-_JM,"U$S1,350,000",Nayarit,BahÃ­a De Banderas,541 mÂ²,,,,1,,,13900 MXN,,5,5,10 aÃ±os,,,,,,,,,,,,,,,
1398113278,nayarit,casa,https://casa.metroscubicos.com/MLM-1398113278-casa-poblado-comunal-mezcalitos-_JM,"$4,350,000",Nayarit,Bahía De Banderas,280 m²,,5,2,1,2,0 años,0 MXN,,,,,,,,,,,,,,,,,,,
1393689272,nayarit,casa,https://casa.metroscubicos.com/MLM-1393689272-casa-en-venta-en-flamingos-bucerias-real-flamingos-_JM,"$3,290,000",BahÃ­a De Banderas,BucerÃ­as Centro,144 mÂ²,144 mÂ²,,,,,,0 MXN,,3,2,0 aÃ±os,,,,,,,,,,,,,,,
1393813007,nayarit,casa,https://casa.metroscubicos.com/MLM-1393813007-casa-en-venta-en-flamingos-bucerias-real-flamingos-_JM,"$3,595,000",BahÃ­a De Banderas,BucerÃ­as Centro,163 mÂ²,163 mÂ²,,,,,,0 MXN,,3,2,0 aÃ±os,,,,,,,,,,,,,,,
1408329947,nayarit,casa,https://casa.metroscubicos.com/MLM-1408329947-casa-nueva-de-3rec-3wc-coto-alberca-a-10-minutos-de-playa-_JM,"$2,000,000",BahÃ­a De Banderas,Altavela,98 mÂ²,98 mÂ²,,,1,,,,,3,2,,,,,,,,,,,,,,,,
1383523829,nayarit,rinconada,https://casa.metroscubicos.com/MLM-1383523829-rinconada-banderas-casa-38-_JM,"$4,600,000",BahÃ­a De Banderas,Nuevo Vallarta,189.46 mÂ²,172.75 mÂ²,,,3,,,,,3,3,,,,,,,,,,,,,,,,
938629765,nayarit,real,https://casa.metroscubicos.com/MLM-938629765-real-nuevo-vallarta-casa-35-_JM,"$6,900,000",BahÃ­a De Banderas,Nuevo Vallarta,250 mÂ²,230 mÂ²,,,2,,,,,3,2,,,,,,,,,,,,,,,,
1422853728,nayarit,casa,https://casa.metroscubicos.com/MLM-1422853728-casa-en-venta-en-parque-nayarit-_JM,"$4,300,000",San Andrés Cholula,Lomas de Angelópolis,164 m²,246 m²,3,4,2,,0 años,,8,,,,,,,,,,,,,,,,,,
1422914169,nayarit,casa,https://casa.metroscubicos.com/MLM-1422914169-casa-en-venta-en-parque-nayarit-_JM,"$4,850,000",San Andrés Cholula,Lomas de Angelópolis,160 m²,323 m²,3,3,2,,3 años,,7,,,,,,,,,,,,,,,,,,
1425443161,nayarit,remate,https://casa.metroscubicos.com/MLM-1425443161-remate-bancario-casa-en-fracc-las-ceibas-ii-nayarit-zfv-_JM,"$1,239,000",Nayarit,Bahía De Banderas,90 m²,90 m²,3,2,2,2,7 años,0 MXN,5,,,,,,,,,,,,,,,,,,
1422720545,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720545-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S549,000",BahÃ­a De Banderas,Nuevo Vallarta,600 mÂ²,600 mÂ²,,,,2,,0 USD,,4,5,,,,,,,,,,,,,,,,
1422690870,nayarit,casa,https://casa.metroscubicos.com/MLM-1422690870-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S1,200,000",BahÃ­a De Banderas,Higuera Blanca,296 mÂ²,296 mÂ²,,,2,6,,0 USD,,8,8,,,,,,,,,,,,,,,,
1423507069,nayarit,casa,https://casa.metroscubicos.com/MLM-1423507069-casa-en-venta-fracc-palma-real-bahia-de-banderas-_JM,"$986,000",Nayarit,Bahía De Banderas,90 m²,,3,2,1,2,12 años,0 MXN,,,,,,,,,,,,,,,,,,,
1422672091,nayarit,casa,https://casa.metroscubicos.com/MLM-1422672091-casa-en-condominio-en-venta-bahia-de-banderas-nayarit-_JM,"U$S486,000",BahÃ­a De Banderas,Cruz De Huanacaxtle,152 mÂ²,320 mÂ²,,,,2,,7500 USD,,4,2,,,,,,,,,,,,,,,,
1422726993,nayarit,casa,https://casa.metroscubicos.com/MLM-1422726993-casa-en-venta-compostela-nayarit-_JM,"U$S225,000",Compostela,Cuastecomatillo,487 mÂ²,171 mÂ²,,,2,2,,0 USD,,2,3,,,,,,,,,,,,,,,,
1422751126,nayarit,casa,https://casa.metroscubicos.com/MLM-1422751126-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S1,200,000",BahÃ­a De Banderas,Sayulita,3630 mÂ²,715 mÂ²,,,8,3,,0 USD,,,8,,,,,,,,,,,,,,,,
1422733051,nayarit,casa,https://casa.metroscubicos.com/MLM-1422733051-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S2,000,000",BahÃ­a De Banderas,Nuevo Vallarta,987 mÂ²,590 mÂ²,,,2,2,,0 USD,,5,5,,,,,,,,,,,,,,,,
1422751015,nayarit,casa,https://casa.metroscubicos.com/MLM-1422751015-casa-en-venta-compostela-nayarit-_JM,"U$S150,000",Compostela,El Paranal,211 mÂ²,253 mÂ²,,,2,2,,0 USD,,4,3,,,,,,,,,,,,,,,,
1422726707,nayarit,casa,https://casa.metroscubicos.com/MLM-1422726707-casa-en-venta-compostela-nayarit-_JM,"U$S1,350,000",Compostela,Chacala,401 m²,402 m²,,10,,3,,0 USD,,,,,,,,,,,,,,,,,,,
1422690580,nayarit,casa,https://casa.metroscubicos.com/MLM-1422690580-casa-en-venta-compostela-nayarit-_JM,"U$S1,049,000",Compostela,Rincón De Guayabitos,712 m²,700 m²,6,6,4,2,,0 USD,,,,,,,,,,,,,,,,,,,
1422901584,nayarit,casa,https://casa.metroscubicos.com/MLM-1422901584-casa-en-venta-en-parque-nayarit-_JM,"$3,900,000",Ocoyucan,Santa Clara Ocoyucan,173 m²,240 m²,3,4,2,,0 años,,8,,,,,,,,,,,,,,,,,,
1422701588,nayarit,casa,https://casa.metroscubicos.com/MLM-1422701588-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S339,990",BahÃ­a De Banderas,Nuevo Vallarta,180 mÂ²,228 mÂ²,,,2,2,,0 USD,,3,2,,,,,,,,,,,,,,,,
1422720246,nayarit,casa,https://casa.metroscubicos.com/MLM-1422720246-casa-en-venta-bahia-de-banderas-nayarit-_JM,"U$S1,599,000",Bahía De Banderas,Nuevo Vallarta,12652 m²,750 m²,5,5,20,1,,0 USD,,,,,,,,,,,,,,,,,,,
1426407892,nayarit,venta,https://casa.metroscubicos.com/MLM-1426407892-venta-casa-en-remate-fracc-palma-real-nayarit-3-recamaras-_JM,"$865,000",Nayarit,Bahía De Banderas,125 m²,,3,2,1,1,8 años,0 MXN,,,,,,,,,,,,,,,,,,,
