ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote,NÃºmero de piso de la unidad,DisposiciÃ³n
1422939687,puebla,casa,https://casa.metroscubicos.com/MLM-1422939687-casa-en-venta-lomas-de-angelopolis-_JM,"$6,650,000",San Andrés Cholula,Lomas de Angelópolis II,285 m²,277 m²,9,4,4,2,,10 años,,,,,,,,,,,,,,,,,,,,,
1426107687,puebla,casas,https://casa.metroscubicos.com/MLM-1426107687-casas-en-venta-tipo-town-houses-en-rinconada-del-fresno-zona-la-carcana-_JM,"$3,737,000",Puebla,San AndrÃ©s Cholula,245 mÂ²,245 mÂ²,,,,2,,,0 MXN,3,3,,0 aÃ±os,,,3,,,,,,,,,,,,,
1422871363,puebla,casa,https://casa.metroscubicos.com/MLM-1422871363-casa-en-venta-en-lomas-de-angelopolis-iii-_JM,"$3,617,395",San Andrés Cholula,Lomas de Angelópolis,144 m²,258 m²,9,3,4,2,,0 años,,,,,,,,,,,,,,,,,,,,,
1422901618,puebla,casa,https://casa.metroscubicos.com/MLM-1422901618-casa-en-venta-en-parque-veracruz-_JM,"$3,200,000",San Andrés Cholula,Lomas de Angelópolis,120 m²,205 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,,,,
1422871360,puebla,casa,https://casa.metroscubicos.com/MLM-1422871360-casa-en-venta-en-morillotla-_JM,"$7,000,000",San Andrés Cholula,Emiliano Zapata,600 m²,327 m²,10,4,5,3,,15 años,,,,,,,,,,,,,,,,,,,,,
1422926894,puebla,casa,https://casa.metroscubicos.com/MLM-1422926894-casa-en-venta-en-explanada-_JM,"$3,350,000",San Pedro Cholula,Momoxpan,160 m²,240 m²,7,3,3,2,,0 años,,,,,,,,,,,,,,,,,,,,,
1422926891,puebla,casa,https://casa.metroscubicos.com/MLM-1422926891-casa-en-venta-en-lomas-de-angelopolis-ii-_JM,"$3,350,000",San Andrés Cholula,Lomas de Angelópolis,137 m²,200 m²,7,3,3,2,,0 años,,,,,,,,,,,,,,,,,,,,,
1422908088,puebla,casa,https://casa.metroscubicos.com/MLM-1422908088-casa-en-venta-en-cuautlancingo-_JM,"$2,155,000",Cuautlancingo,Cuautlancingo,172 m²,172 m²,8,4,4,2,,0 años,,,,,,,,,,,,,,,,,,,,,
1426082007,puebla,casa,https://casa.metroscubicos.com/MLM-1426082007-casa-en-venta-en-fraccionamiento-jardines-de-zavaleta-_JM,"$13,950,000",Puebla,Jardines De Zavaleta,600 m²,581 m²,,3,3,2,,0 años,0 MXN,,,,,,,2,,,,,,,,,,,,,
1422853840,puebla,casa,https://casa.metroscubicos.com/MLM-1422853840-casa-en-venta-en-zona-udla-_JM,"$8,800,000",San Pedro Cholula,Camino Real,450 m²,440 m²,10,4,4,3,,5 años,,,,,,,,,,,,,,,,,,,,,
1422908091,puebla,casa,https://casa.metroscubicos.com/MLM-1422908091-casa-en-venta-lomas-de-angelopolis-_JM,"$3,500,000",San Andrés Cholula,Lomas de Angelópolis II,170 m²,182 m²,7,3,3,2,,5 años,,,,,,,,,,,,,,,,,,,,,
1422914275,puebla,casas,https://casa.metroscubicos.com/MLM-1422914275-casas-en-preventa-lomas-del-sur-_JM,"$1,785,000",Puebla,Lomas Del Sur,75 m²,88 m²,5,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
1425060433,puebla,venta,https://casa.metroscubicos.com/MLM-1425060433-venta-casa-en-condominio-en-puebla-cerca-de-la-volkswagen-_JM,"$1,200,000",Puebla,Alberto De La Fuente,67 mÂ²,112 mÂ²,6,,,1,,,,3,2,,9 aÃ±os,,,,,,,,,,,,,,,,
1422859280,puebla,casa,https://casa.metroscubicos.com/MLM-1422859280-casa-en-preventa-zona-zavaleta-_JM,"$7,324,792",Puebla,Santa Cruz Buenavista,330 m²,348 m²,8,4,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
1422871362,puebla,casa,https://casa.metroscubicos.com/MLM-1422871362-casa-en-venta-residencial-belmonte-_JM,"$2,100,000",San Pedro Cholula,AmpliaciÃ³n Momoxpan,109 mÂ²,125 mÂ²,6,,,2,,,,3,2,,0 aÃ±os,,,,,,,,,,,,,,,,
1426039539,puebla,casa,https://casa.metroscubicos.com/MLM-1426039539-casa-en-venta-en-fraccionamiento-arrayanes-san-andres-cholula-_JM,"$6,500,000",Puebla,Puebla,400 m²,400 m²,,3,5,5,,4 años,0 MXN,,,,,,,3,,,,,,,,,,,,,
1422859284,puebla,casa,https://casa.metroscubicos.com/MLM-1422859284-casa-en-venta-en-lomas-de-angelopolis-iii-_JM,"$3,700,000",San Andrés Cholula,Lomas de Angelópolis,170 m²,260 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,
1422939684,puebla,casa,https://casa.metroscubicos.com/MLM-1422939684-casa-en-venta-lomas-de-angelopolis-_JM,"$3,500,000",San Andrés Cholula,Lomas de Angelópolis,130 m²,260 m²,8,3,3,2,,0 años,,,,,,,,,,,,,,,,,,,,,
1422901624,puebla,casa,https://casa.metroscubicos.com/MLM-1422901624-casa-en-venta-en-cuautlancingo-_JM,"$1,350,000",Cuautlancingo,San Juan Cuautlancingo Centro,110 mÂ²,112 mÂ²,6,,,2,,,,3,2,,7 aÃ±os,,,,,,,,,,,,,,,,
1422926895,puebla,casa,https://casa.metroscubicos.com/MLM-1422926895-casa-en-venta-en-la-recta-cholula-_JM,"$4,500,000",Puebla,Quetzalcoatl,244 mÂ²,200 mÂ²,7,,,2,,,,3,3,,0 aÃ±os,,,,,,,,,,,,,,,,
1422920452,puebla,casa,https://casa.metroscubicos.com/MLM-1422920452-casa-en-preventa-en-lomas-de-angelopolis-_JM,"$16,000,000",San Andrés Cholula,Lomas de Angelópolis,501 m²,775 m²,13,5,6,4,,,,,,,,,,,,,,,,,,,,,,,
1426120639,puebla,casa,https://casa.metroscubicos.com/MLM-1426120639-casa-en-venta-en-parque-nilo-lomas-de-angelopolis-ii-_JM,"$6,700,000",Puebla,San Andrés Cholula,356 m²,356 m²,,3,2,2,,4 años,0 MXN,,,,,,,2,,,,,,,,,,,,,
1422859282,puebla,casa,https://casa.metroscubicos.com/MLM-1422859282-casa-en-venta-en-zavaleta-_JM,"$7,290,000",Puebla,Zavaleta (Zavaleta),500 m²,365 m²,8,4,3,5,,22 años,,,,,,,,,,,,,,,,,,,,,
1422933298,puebla,casa,https://casa.metroscubicos.com/MLM-1422933298-casa-en-venta-san-pedro-cholula-_JM,"$3,350,000",San Pedro Cholula,Zerezotla,120 mÂ²,240 mÂ²,6,,,2,,,,3,2,,0 aÃ±os,,,,,,,,,,,,,,,,
1422914280,puebla,casa,https://casa.metroscubicos.com/MLM-1422914280-casa-en-venta-lomas-iii-_JM,"$4,350,000",San Andrés Cholula,Lomas de Angelópolis,181 m²,307 m²,11,4,6,2,,0 años,,,,,,,,,,,,,,,,,,,,,
1422871355,puebla,casa,https://casa.metroscubicos.com/MLM-1422871355-casa-en-venta-en-p-zacatecas-_JM,"$7,000,000",San Andrés Cholula,Lomas de Angelópolis,170 m²,320 m²,11,4,6,2,,4 años,,,,,,,,,,,,,,,,,,,,,
1422920445,puebla,venta,https://casa.metroscubicos.com/MLM-1422920445-venta-casa-lomas-iii-cluster-mediterraneo-_JM,"$3,430,000",San Andrés Cholula,Lomas de Angelópolis,128 m²,195 m²,9,4,4,2,,0 años,,,,,,,,,,,,,,,,,,,,,
1423076127,puebla,casa,https://casa.metroscubicos.com/MLM-1423076127-casa-sola-en-pueblo-chiconcuac-xochitepec-arc-41-cs-_JM,"$7,000,000",Morelos,Xochitepec,1550 m²,300 m²,,4,4,5,,,,,,,,,,,,,,,,,,,,,,,
1422871365,puebla,casa,https://casa.metroscubicos.com/MLM-1422871365-casa-en-venta-en-san-pedro-cholula-_JM,"$3,200,000",San Pedro Cholula,Santa María Xixitla,234 m²,223 m²,7,3,3,3,,0 años,,,,,,,,,,,,,,,,,,,,,
1425442828,puebla,casa,https://casa.metroscubicos.com/MLM-1425442828-casa-en-pueblo-san-francisco-tesistan-zapopan-con-3-recamaras-150-m-id-65547-_JM,"$3,100,000",Jalisco,Zapopan,150 m²,150 m²,3,3,2,2,Casa,12 años,0 MXN,,,,,,,,,,,,,,,,,,,,
1422819188,puebla,casa,https://casa.metroscubicos.com/MLM-1422819188-casa-en-venta-en-parque-guanajuato-3-habitaciones-_JM,"$5,800,000",San Andrés Cholula,Lomas de Angelópolis,519 m²,310 m²,,3,3,2,,,,,,,,,Norte,3,,,,,,,,,,,,,
1423431878,puebla,casa,https://casa.metroscubicos.com/MLM-1423431878-casa-de-3-habitaciones-en-lomas-de-angelopolis-cluster-888-_JM,"$5,250,000",San Andrés Cholula,Lomas de Angelópolis Closster 888,336 m²,240 m²,,3,3,2,,0 años,,,,,,,Sur,3,,,,,,,,,,,,,
1422796051,puebla,casa,https://casa.metroscubicos.com/MLM-1422796051-casa-en-puebla-con-alberca-y-chapoteadero-_JM,"$2,499,000",Coronango,Coronango,120 mÂ²,300 mÂ²,,,,2,,,,4,5,,,,,3,,,,,,,,,,,,,
1424100947,puebla,casa,https://casa.metroscubicos.com/MLM-1424100947-casa-en-venta-zona-zavaleta-4-recamaras-y-jardin-_JM,"$14,900,000",Puebla,Zavaleta,805 m²,504 m²,,4,4,4,,,,,,,,,Oriente,2,,,,,,,,,,,,,
1363250327,puebla,casa,https://casa.metroscubicos.com/MLM-1363250327-casa-seminueva-en-oportunidad-_JM,"$1,250,000",Puebla,Bosques Del Pilar,73 m²,123 m²,5,2,15,,,12 años,,,,,,,Poniente,3,,,,,,,,,,,,,
1402581190,puebla,gran,https://casa.metroscubicos.com/MLM-1402581190-gran-oportunidad-hermosa-casa-en-lomas-de-angelopolis-_JM,"$2,141,000",San Andrés Cholula,Lomas de Angelópolis,128 m²,140 m²,,3,3,2,,0 años,,,,,,,,,,,,,,,,,,,,,
1419073829,puebla,ultima,https://casa.metroscubicos.com/MLM-1419073829-ultima-casa-nueva-a-doble-altura-_JM,"$1,400,000",Puebla,Snte,107 m²,140 m²,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,
1402612702,puebla,gran,https://casa.metroscubicos.com/MLM-1402612702-gran-oportunidad-hermosa-casa-en-lomas-de-angelopolis-_JM,"$2,140,000",San Andrés Cholula,Lomas de Angelópolis II,130 m²,210 m²,,3,4,2,,5 años,,,,,,,,3,Casa en fraccionamiento,,,,,,,,,,,,
1410109513,puebla,casa,https://casa.metroscubicos.com/MLM-1410109513-casa-en-venta-_JM,"$1,700,000",Cuautlancingo,Cuautlancingo,117 m²,155 m²,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,
874149907,puebla,fraccionamiento,https://casa.metroscubicos.com/MLM-874149907-fraccionamiento-el-origen-manantiales-ultima-casa-_JM,"$1,950,000",San Pedro Cholula,Manantiales,142.3 m²,142.3 m²,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,
1382423429,puebla,casa,https://casa.metroscubicos.com/MLM-1382423429-casa-con-jardin-en-fraccionamiento-santa-cruz-guadalupe-puebla-_JM,"$7,350,000",Puebla,Santa Cruz Guadalupe,384 m²,250 m²,,3,3,5,,7 años,800 MXN,,,,,,Sur,2,,,,,,,,,,,,,
1333437308,puebla,preciosa,https://casa.metroscubicos.com/MLM-1333437308-preciosa-residencia-a-campo-de-golf-la-vista-country-club-_JM,"$45,000,000",San AndrÃ©s Cholula,La Vista Contry Club,1000 mÂ²,900 mÂ²,,,,4,,,,4,5,,,,,,,,,,,,,,,,,,
1347110286,puebla,venta,https://casa.metroscubicos.com/MLM-1347110286-venta-de-casa-en-fracc-cerrado-con-alberca-cuautlancingo-_JM,"$1,499,000",Cuautlancingo,San Lorenzo Almecatla,83 m²,133 m²,3,3,4,2,,,,,,,,,,3,,,,,,,,,,,,,
