ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Tipo de casa,Antigüedad,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,Bodegas,AntigÃ¼edad,OrientaciÃ³n,Orientación,Cantidad de pisos,Tipo de propiedad,Tipo de departamento,Disposición,Departamentos por piso,Número de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote,NÃºmero de piso de la unidad,DisposiciÃ³n,Baños por piso,Número de oficinas,Oficinas por piso,Admite mascotas,Tipo de bodega,Altura,Plataformas para trailers,Soporte de piso,Huéspedes,Camas,Estadía mínima (noches),Horario check in,Horario check out,NÃºmero de oficinas
1424219526,querétaro,casa,https://casa.metroscubicos.com/MLM-1424219526-casa-de-3-recamaras-cada-una-con-bano-y-terraza-en-tercer-nivel-_JM,"$3,200,000",El Marqués,Zákia,151 m²,185 m²,,3,3,2,,0 años,900 MXN,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424743832,querétaro,casa,https://casa.metroscubicos.com/MLM-1424743832-casa-con-amplio-jardin-y-roof-garden-con-opcion-a-4ta-recamara-_JM,"$3,900,000",El Marqués,Zákia,172 m²,250 m²,,3,3,2,,0 años,900 MXN,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425442911,querétaro,preventa,https://casa.metroscubicos.com/MLM-1425442911-preventa-casa-zibata-increible-roof-garden-4-hab-doble-altura-_JM,"$4,497,000",El Marqués,Fraccionamiento Zibatá,178 m²,212 m²,4,4,4,2,,0 años,,,,1,,,Norte,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425429865,querétaro,preventa,https://casa.metroscubicos.com/MLM-1425429865-preventa-casa-zibata-increible-roof-garden-4-hab-doble-altura-_JM,"$4,497,000",Querétaro,Zibatá,178 m²,212 m²,4,4,4,2,,0 años,,,,1,,,Norte,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425468704,querétaro,preventa,https://casa.metroscubicos.com/MLM-1425468704-preventa-casa-zibata-increible-roof-garden-4-hab-doble-altura-_JM,"$4,497,000",El Marqués,Zibata,178 m²,212 m²,4,4,4,2,,0 años,,,,1,,,Norte,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426279856,querétaro,casa,https://casa.metroscubicos.com/MLM-1426279856-casa-en-venta-en-juriquilla-con-roof-garden-_JM,"$3,450,000",Querétaro,Valle de Juriquilla,198 m²,159 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424128177,querétaro,casa,https://casa.metroscubicos.com/MLM-1424128177-casa-en-venta-en-jurica-un-piso-_JM,"$10,500,000",Querétaro,Jurica,1000 m²,525 m²,7,3,3,5,,15 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424241080,querétaro,espectacular,https://casa.metroscubicos.com/MLM-1424241080-espectacular-casa-en-venta-queretaro-_JM,"$2,650,000",Corregidora,Residencial Santa Fe,180 m²,165 m²,6,3,2,3,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424202252,querétaro,casa,https://casa.metroscubicos.com/MLM-1424202252-casa-con-recamara-en-planta-baja-en-zizana-zona-zakia-_JM,"$2,790,000",El Marqués,Zákia,130 m²,165 m²,,4,3,2,,0 años,900 MXN,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424253221,querétaro,casa,https://casa.metroscubicos.com/MLM-1424253221-casa-en-venta-cerca-del-centro-de-queretaro-_JM,"$2,049,000",Corregidora,Otros,122 m²,142 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424259639,querétaro,casa,https://casa.metroscubicos.com/MLM-1424259639-casa-nueva-en-paseos-de-san-miguel-queretaro-_JM,"$1,220,000",Querétaro,Paseos De San Miguel,78 m²,78 m²,4,2,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423667257,querétaro,casa,https://casa.metroscubicos.com/MLM-1423667257-casa-de-oportunidad-en-zen-life-2-_JM,"$2,600,000",El Marqués,Zen House Habitat,127 m²,180 m²,6,3,2,2,,1 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424229129,querétaro,casa,https://casa.metroscubicos.com/MLM-1424229129-casa-en-venta-centrica-en-queretaro-_JM,"$1,879,000",Corregidora,Otros,122 m²,123 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424266050,querétaro,casa,https://casa.metroscubicos.com/MLM-1424266050-casa-en-venta-en-rincones-del-marques-queretaro-_JM,"$1,667,000",El Marqués,Rincones del Marques,99 m²,108 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424225013,querétaro,casa,https://casa.metroscubicos.com/MLM-1424225013-casa-de-3-recamaras-con-acabados-de-madera-en-zizana-zakia-_JM,"$2,600,000",El Marqués,Zákia,131 m²,150 m²,,3,2,2,,0 años,900 MXN,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424628835,querétaro,casa,https://casa.metroscubicos.com/MLM-1424628835-casa-en-venta-de-3-hab-sala-tv-en-juriquilla-santa-fe-_JM,"$3,375,000",Querétaro,Juriquilla Santa Fe,180 m²,186 m²,6,3,2,2,,12 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424266048,querétaro,casa,https://casa.metroscubicos.com/MLM-1424266048-casa-en-venta-con-amenidades-en-queretaro-_JM,"$1,650,000",Querétaro,Ciudad del Sol,67 m²,112 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423082496,querétaro,casa,https://casa.metroscubicos.com/MLM-1423082496-casa-en-venta-en-zakia-con-espacios-amplios-_JM,"$2,150,000",El Marqués,Otros,120 m²,121 m²,6,3,2,3,,4 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424253222,querétaro,casa,https://casa.metroscubicos.com/MLM-1424253222-casa-en-venta-en-paseos-de-san-miguel-queretaro-_JM,"$1,400,000",Querétaro,Paseos De San Miguel,90 m²,90 m²,6,3,2,2,,0 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
