ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Antigüedad,RecÃ¡maras,BaÃ±os,Cuota mensual de mantenimiento,AntigÃ¼edad,Cantidad de pisos,Bodegas,Orientación,OrientaciÃ³n,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,DisposiciÃ³n,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote
1425444642,quintana-roo,lagos,https://casa.metroscubicos.com/MLM-1425444642-lagos-del-sol-residencial-casa-en-venta-en-cancun-_JM,"$11,500,000",Cancún/Benito Juárez,Lagos del Sol,408 m²,478 m²,9,4,5,2,5 años,,,,,,,,,,,,,,,,,,,,,
1423445446,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1423445446-venta-de-casa-de-2-pisos-con-recamara-en-planta-baja-en-supermanzana-59-cancun-_JM,"$2,245,000",Cancún/Benito Juárez,Supermanzana 59,151 m²,265 m²,,4,5,2,1 años,,,,,,,,,,,,,,,,,,,,,
1426253123,quintana-roo,extraordinaria,https://casa.metroscubicos.com/MLM-1426253123-extraordinaria-residencia-en-senderos-mayakoba-_JM,"$11,500,000",Solidaridad/Riviera Maya,Ciudad Playa Del Carmen,310 mÂ²,387 mÂ²,,,,2,,3,6,,,,,,,,,,,,,,,,,,,
1424101653,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1424101653-casa-en-venta-en-cancun-lagos-del-sol-_JM,"$13,000,000",CancÃºn/Benito JuÃ¡rez,Lagos del Sol,358 mÂ²,425 mÂ²,9,,,3,,4,4,,,,,,,,,,,,,,,,,,,
1344404806,quintana-roo,tu,https://casa.metroscubicos.com/MLM-1344404806-tu-casa-en-cancun-para-vivir-o-invertir-conocela-_JM,"$957,000",Cancún/Benito Juárez,Bahía Dorada,80 m²,67 m²,,2,2,1,,,,800 MXN,,,,,,,,,,,,,,,,,,
926561334,quintana-roo,casa,https://casa.metroscubicos.com/MLM-926561334-casa-en-venta-frente-a-la-laguna-en-isla-dorada-_JM,"$29,000,000",CancÃºn/Benito JuÃ¡rez,Isla Dorada,708 mÂ²,490 mÂ²,,,,7,,4,4,4400 MXN,0 aÃ±os,,,,,,,,,,,,,,,,,
1340317650,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1340317650-casa-2-y-3-recamaras-conalberca-en-cancun-para-vivir-o-invertir-_JM,"$928,000",Cancún/Benito Juárez,Región 100,87 m²,87 m²,,3,2,1,,,,875 MXN,,,,,,,,,,,,,,,,,,
1398708881,quintana-roo,oferta,https://casa.metroscubicos.com/MLM-1398708881-oferta-casa-3-recamaras-alberca-cto-servicio-en-palmaris-_JM,"$3,810,500",Cancún/Benito Juárez,Alfredo V Bonfil,167 m²,208 m²,,3,4,2,,,,1300 MXN,,,,,,,,,,,,,,,,,,
926565698,quintana-roo,casa,https://casa.metroscubicos.com/MLM-926565698-casa-en-venta-frente-a-la-laguna-en-isla-dorada-_JM,"U$S3,200,000",CancÃºn/Benito JuÃ¡rez,Isla Dorada,1100 mÂ²,860 mÂ²,,,,9,,4,5,0 MXN,13 aÃ±os,,,,,,,,,,,,,,,,,
1372651537,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1372651537-casa-en-venta-de-3-recamaras-en-playa-del-carmen-_JM,"U$S310,000",Solidaridad/Riviera Maya,Playacar Fase II,166 m²,166 m²,1,3,3,2,10 años,,,2200 MXN,,2,,,,,,,,,,,,,,,,
936426023,quintana-roo,casa,https://casa.metroscubicos.com/MLM-936426023-casa-venta-cancun-residencial-campestre-_JM,"$10,750,000",Cancún/Benito Juárez,Campestre,1050 m²,595 m²,3,4,5,9,22 años,,,,,3,2,Norte,,,,,,,,,,,,,,
1357243730,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1357243730-casa-venta-cancun-remodelada-gran-santa-fe-_JM,"$2,800,000",Cancún/Benito Juárez,Grand Santa Fe,168 m²,163 m²,2,4,3,2,14 años,,,400 MXN,,2,,,,,,,,,,,,,,,,
1309494759,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1309494759-casa-venta-cancun-los-canales-puerto-cancun-_JM,"U$S2,775,000",Cancún/Benito Juárez,Puerto Cancún,720 m²,643 m²,4,4,5,6,5 años,,,,,2,2,Poniente,,,,,,,,,,,,,,
1384911283,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1384911283-casa-en-venta-de-3-rec-a-5-min-de-la-playa-en-residencial-de-74-casas-_JM,"$3,200,000",Solidaridad/Riviera Maya,Encuentro,145 m²,142 m²,1,3,2,2,0 años,,,,,2,,,,,,,,,,,,,,,,
1411433018,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1411433018-casa-en-venta-en-bahia-principe-tulum-tao-community-2-recamaras-_JM,"U$S174,000",Quintana Roo,Tulum,72 mÂ²,72 mÂ²,3,,,1,,1,1,300 MXN,0 aÃ±os,6,,,Oriente,,,,,,,,,,,,,
1400645547,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1400645547-venta-de-bonita-casa-en-villas-nissia-z-h-cancun-_JM,"U$S394,001",Cancún/Benito Juárez,Zona Hotelera,230 m²,230 m²,7,4,3,,0 años,,,,,,,,,,,,,,,,,,,,,
1362620715,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1362620715-casa-en-venta-en-los-canales-puerto-cancun-_JM,"U$S3,500,000",Cancún/Benito Juárez,Puerto Cancún,650 m²,771 m²,,3,3,9,0 años,,,7800 MXN,,,,,,,,,,,,,,,,,,
1416226753,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1416226753-venta-de-casa-en-playa-del-carmen-quinatana-roo-_JM,"$1,250,000",Cancún/Benito Juárez,Monte de los Olivos,90 m²,66 m²,,2,1,1,6 años,,,,,,,,,,,,,,,,,,,,,
1418849350,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418849350-casa-en-venta-en-residencial-campestre-cancun-_JM,"$10,990,000",CancÃºn/Benito JuÃ¡rez,Campestre,930 mÂ²,542 mÂ²,8,,,4,,3,4,,0 aÃ±os,,,,,,,,,,,,,,,,,
1418849275,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418849275-casa-en-venta-en-cancun-lagos-del-sol-en-el-lago-_JM,"$18,980,000",CancÃºn/Benito JuÃ¡rez,Lagos del Sol,660 mÂ²,624 mÂ²,9,,,3,,4,4,,2 aÃ±os,,,,,,,,,,,,,,,,,
1416252559,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416252559-casa-en-venta-en-cancun-quintana-roo-al-norte-de-la-ciudad-_JM,"$850,000",Cancún/Benito Juárez,Vista Real,81 m²,77 m²,,2,2,1,0 años,,,,,,,,,,,,,,,,,,,,,
1418849269,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418849269-casa-en-venta-en-cancun-residencial-lagos-del-sol-_JM,"$7,750,000",CancÃºn/Benito JuÃ¡rez,Lagos del Sol,460 mÂ²,397 mÂ²,10,,,2,,4,5,,0 aÃ±os,,,,,,,,,,,,,,,,,
1418981801,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418981801-casa-en-venta-en-cancun-la-marina-puerto-cancun-_JM,"U$S1,999,000",Cancún/Benito Juárez,Puerto Cancún,315 m²,599 m²,9,4,4,3,0 años,,,,,,,,,,,,,,,,,,,,,
1418981768,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418981768-casa-en-venta-en-cancun-en-esquina-lagos-del-sol-_JM,"$9,860,000",CancÃºn/Benito JuÃ¡rez,Lagos del Sol,382 mÂ²,395 mÂ²,6,,,2,,3,3,,3 aÃ±os,,,,,,,,,,,,,,,,,
1416190891,quintana-roo,se,https://casa.metroscubicos.com/MLM-1416190891-se-vende-casa-en-san-geronimo-cancun-quintana-roo-_JM,"$2,000,000",Cancún/Benito Juárez,Las Torres,160 m²,140 m²,,3,2,2,12 años,,,,,,,,,,,,,,,,,,,,,
1400531982,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1400531982-casa-en-venta-de-3-recamaras-en-playa-del-carmen-_JM,"U$S310,001",Solidaridad/Riviera Maya,Playacar Fase II,150 m²,166 m²,6,3,2,2,10 años,,,,,,,,,,,,,,,,,,,,,
1416233145,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416233145-casa-en-venta-ubicada-en-la-residencial-arbolada-cancun-quintana-roo-_JM,"$3,250,000",CancÃºn/Benito JuÃ¡rez,Arboledas,120 mÂ²,200 mÂ²,,,,2,,3,3,,0 aÃ±os,,,,,,,,,,,,,,,,,
1416246310,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416246310-casa-en-venta-en-residencial-cumbres-_JM,"$7,800,000",Cancún/Benito Juárez,Residencial Cumbres,300 m²,380 m²,,4,4,2,4 años,,,,,,,,,,,,,,,,,,,,,
1416264577,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416264577-casa-en-venta-en-cancun-aqua-residencial-_JM,"$4,500,000",Othon P Blanco,Supermanzana 206,220 m²,200 m²,,3,3,2,5 años,,,,,,,,,,,,,,,,,,,,,
1418981795,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418981795-casa-en-venta-en-cancun-residencial-aqua-_JM,"$5,490,000",Cancún/Benito Juárez,Cancún Centro,160 m²,279 m²,10,4,5,2,0 años,,,,,,,,,,,,,,,,,,,,,
1418899663,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418899663-casa-en-venta-en-cancun-puerto-cancun-los-canales-_JM,"U$S3,500,000",Cancún/Benito Juárez,Puerto Cancún,650 m²,734 m²,7,3,3,4,1 años,,,,,,,,,,,,,,,,,,,,,
1416252403,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416252403-casa-a-la-venta-en-centro-de-isla-mujeres-_JM,"U$S599,000",Isla Mujeres,Isla Mujeres Centro,48 mÂ²,180 mÂ²,,,,,,3,4,,2 aÃ±os,,,,,,,,,,,,,,,,,
1416126874,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1416126874-casa-en-venta-ubicada-en-residencial-aqua-cancun-quintana-roo-_JM,"$4,950,000",Cancún/Benito Juárez,Alfredo V Bonfil,180 m²,295 m²,,4,3,2,0 años,,,,,,,,,,,,,,,,,,,,,
1416252570,quintana-roo,venta,https://casa.metroscubicos.com/MLM-1416252570-venta-de-casa-4-recamaras-en-residencial-lagos-del-sol-cancun-quintana-roo-_JM,"$17,650,000",Lázaro Cárdenas,Monarch Cancun Resort,890 m²,640 m²,,4,4,9,0 años,,,,,,,,,,,,,,,,,,,,,
1301904967,quintana-roo,excelente,https://casa.metroscubicos.com/MLM-1301904967-excelente-casa-en-venta-en-cancun-residencial-aqua-c2746-_JM,"$4,650,000",Cancún/Benito Juárez,Cancun Centro,160 m²,160 m²,,3,3,2,0 años,,,,,,,,,,,,,,,,,,,,,
1407728521,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1407728521-casa-a-200m-del-mar-aldea-paraiso-entrega-nov-2021-playa-del-carmen-_JM,"U$S419,000",Quintana Roo,Solidaridad/Riviera Maya,400 m²,204 m²,10,3,,,0 años,,,0 MXN,,,,,,,,,,,,,,,,,,
1418855647,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418855647-casa-en-venta-en-cancun-residencial-lagos-del-sol-_JM,"$10,150,000",CancÃºn/Benito JuÃ¡rez,Lagos del Sol,418 mÂ²,320 mÂ²,9,,,2,,4,4,,0 aÃ±os,,,,,,,,,,,,,,,,,
1418849244,quintana-roo,casa,https://casa.metroscubicos.com/MLM-1418849244-casa-en-venta-en-cancun-villa-magna-residencial-_JM,"$12,500,000",Cancún/Benito Juárez,Supermanzana 310,905 m²,457 m²,7,3,3,3,6 años,,,,,,,,,,,,,,,,,,,,,
1418868181,quintana-roo,residencial,https://casa.metroscubicos.com/MLM-1418868181-residencial-lagos-del-sol-casa-en-venta-cancun-_JM,"$8,990,000",CancÃºn/Benito JuÃ¡rez,Lagos del Sol,369 mÂ²,351 mÂ²,7,,,2,,3,3,,4 aÃ±os,,,,,,,,,,,,,,,,,
