ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Orientación,Antigüedad,Ambientes,Bodegas,Cantidad de pisos,Cuota mensual de mantenimiento,RecÃ¡maras,BaÃ±os,OrientaciÃ³n,AntigÃ¼edad,Tipo de casa,Tipo de propiedad,Departamentos por piso,Número de piso de la unidad,Disposición,NÃºmero de piso de la unidad,Acceso,Metros de frente,Metros de fondo,Forma del terreno,Disposición del lote,DisposiciÃ³n del lote,DisposiciÃ³n
1424113998,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424113998-casa-en-venta-en-fraccionamiento-quinta-real-_JM,"$2,875,000",Mazatlán,Quinta Real,146 m²,228 m²,3,2,2,,0 años,6,,,,,,,,,,,,,,,,,,,,
1424108586,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424108586-casa-2-pisos-a-estrenar-en-levana-allende-mazatlan-_JM,"$1,486,000",Mazatlán,Salvador Allende,120 m²,114 m²,3,2,2,,0 años,6,,,,,,,,,,,,,,,,,,,,
1424136781,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424136781-casa-en-venta-en-venustiano-carranza-_JM,"$830,000",Mazatlán,Venustiano Carranza,66 m²,66 m²,2,1,1,,0 años,4,,,,,,,,,,,,,,,,,,,,
1424586183,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424586183-casa-en-venta-en-colonia-flores-magon-en-mazatlan-sinaloa-_JM,"$1,800,000",Mazatlán,Flores Magón,112 m²,168 m²,3,2,,,,,,7,,,,,,,,,,,,,,,,,,
1426707518,sinaloa,casa,https://casa.metroscubicos.com/MLM-1426707518-casa-nuevo-culiacan-_JM,"$2,180,000",Sinaloa,Culiacán,190 m²,,3,2,2,,10 años,2,,2,0 MXN,,,,,,,,,,,,,,,,,
1426072547,sinaloa,casa,https://casa.metroscubicos.com/MLM-1426072547-casa-fraccionamiento-versalles-_JM,"$1,291,000",Culiacán,Versalles,160 m²,,3,2,2,,5 años,2,,2,1000 MXN,,,,,,,,,,,,,,,,,
1424177250,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424177250-casa-fraccionamiento-las-quintas-fg-_JM,"$1,244,500",Culiacán,Las Quintas,186 m²,,3,2,2,,12 años,,,1,0 MXN,,,,,,,,,,,,,,,,,
1425764054,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425764054-casa-en-venta-en-fracc-las-gaviotas-mazatlan-sin-_JM,"$10,500,000",Mazatlán,Las Gaviotas,540 m²,491 m²,4,4,4,,15 años,,1,2,,,,,,,,,,,,,,,,,,
1425750679,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425750679-casa-nueva-en-venta-en-hacienda-del-valle-_JM,"$950,000",Culiacán,Hacienda Del Valle,102 m²,140 m²,2,1,1,,0 años,,1,2,,,,,,Casa,Casa sola,,,,,,,,,,,
1425735935,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425735935-casa-en-venta-en-montebello-con-amplio-terreno-_JM,"$3,500,000",Culiacán,Montebello,250 m²,500 m²,4,3,2,,30 años,,1,2,,,,,,Casa,Casa sola,,,,,,,,,,,
1426087548,sinaloa,casa,https://casa.metroscubicos.com/MLM-1426087548-casa-en-venta-altabrisa-residencial-mazatlan-sinaloa-modelo-_JM,"$4,500,000",Mazatlán,El Palmar,200 m²,230 m²,3,3,2,,0 años,6,,,,,,,,,,,,,,,,,,,,
1423056422,sinaloa,casita,https://casa.metroscubicos.com/MLM-1423056422-casita-bonita-en-valle-alto-verde-_JM,"$1,450,000",CuliacÃ¡n,Valle Alto,100 mÂ²,85 mÂ²,,,,,,,,2,,3,2,,,,,,,,,,,,,,,
1425757150,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425757150-casa-en-venta-en-hacienda-del-valle-con-excedente-_JM,"$1,250,000",Culiacán,Hacienda Del Valle,136 m²,120 m²,2,1,2,,0 años,,1,2,,,,,,Casa,Casa sola,,,,,,,,,,,
1425290414,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425290414-casa-en-venta-nueva-de-lujo-en-veredas-del-mar-un-lugar-lleno-de-vida-_JM,"$2,980,000",MazatlÃ¡n,El Venadillo,141 mÂ²,141 mÂ²,,,,,,,,2,,,3,,,,,,,,,,,,,,,
1424738690,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424738690-casa-fraccionamiento-cuauhtemoc-fg-_JM,"$1,470,000",Sinaloa,Culiacán,300 m²,,3,2,2,,10 años,,,1,0 MXN,,,,,,,,,,,,,,,,,
1424685666,sinaloa,oportunidad,https://casa.metroscubicos.com/MLM-1424685666-oportunidad-vive-en-un-ambiente-seguro-tranquilo-y-familiar-_JM,"$5,300,000",Culiacán,Las Quintas,250 m²,430 m²,5,5,,,,,,3,,,,,,,,,,,,,,,,,,
1423425457,sinaloa,casa,https://casa.metroscubicos.com/MLM-1423425457-casa-en-venta-en-stanza-cantabria-en-culiacan-sin-_JM,"$4,200,000",Culiacán,La Candelaria,144 m²,204 m²,3,2,2,,0 años,,1,2,,,,,,Casa,Casa sola,,,,,,,,,,,
1426113569,sinaloa,casa,https://casa.metroscubicos.com/MLM-1426113569-casa-en-venta-altabrisa-residencial-mazatlan-sinaloa-modelo-_JM,"$4,500,000",Mazatlán,El Palmar,200 m²,208 m²,3,4,2,,0 años,7,,,,,,,,,,,,,,,,,,,,
1423445449,sinaloa,casa,https://casa.metroscubicos.com/MLM-1423445449-casa-sola-en-venta-colinas-de-san-miguel-_JM,"$8,000,000",Culiacán,Colinas De San Miguel,200 m²,445 m²,5,5,,,10 años,,,,,,,,,,,,,,,,,,,,,
1423382621,sinaloa,casa,https://casa.metroscubicos.com/MLM-1423382621-casa-sola-en-venta-oportunidad-real-del-valle-_JM,"$2,980,000",Mazatlán,Real Del Valle,120 m²,140 m²,3,28,,,7 años,,,,,,,,,,,,,,,,,,,,,
1423082380,sinaloa,casa,https://casa.metroscubicos.com/MLM-1423082380-casa-sola-en-venta-villas-de-humaya-_JM,"$1,150,000",Culiacán,Humaya,102 m²,73 m²,2,2,,,12 años,,,,,,,,,,,,,,,,,,,,,
1425986186,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425986186-casa-sola-en-venta-la-conquista-_JM,"$952,000",Culiacán,La Conquista,96 m²,132 m²,2,1,,,11 años,,,,,,,,,,,,,,,,,,,,,
1425309210,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425309210-casa-uso-de-suelo-en-venta-portalegre-_JM,"$5,500,000",Culiacán,Portalegre,257 m²,133 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
1425315827,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425315827-casa-sola-en-venta-portalegre-_JM,"$9,500,000",Culiacán,Portalegre,515 m²,133 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
1424730131,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424730131-casa-en-venta-en-prados-del-sol-culiacan-sinaloa-_JM,"$1,950,000",Culiacán,INFONAVIT Prados del Sol,192 m²,185 m²,4,2,2,,5 años,,1,2,,,,,,Casa,Casa sola,,,,,,,,,,,
1425947648,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425947648-casa-sola-en-venta-colinas-de-san-miguel-_JM,"$6,000,000",Culiacán,Colinas De San Miguel,192 m²,305 m²,3,4,,,14 años,,,,,,,,,,,,,,,,,,,,,
1425450149,sinaloa,casa,https://casa.metroscubicos.com/MLM-1425450149-casa-sola-en-venta-aria-_JM,"$3,724,440",Culiacán,La Candelaria,120 m²,226 m²,3,4,,,0 años,,,,,,,,,,,,,,,,,,,,,
1425431459,sinaloa,remate,https://casa.metroscubicos.com/MLM-1425431459-remate-bancario-casa-en-las-quintas-culiacan-zfv-_JM,"$1,244,500",Sinaloa,Culiacán,174 m²,174 m²,3,1,2,,10 años,6,,1,0 MXN,,,,,,,,,,,,,,,,,
1424702238,sinaloa,casa,https://casa.metroscubicos.com/MLM-1424702238-casa-sola-en-venta-real-del-valle-_JM,"$3,045,000",MazatlÃ¡n,Real Del Valle,115 mÂ²,185 mÂ²,,,,,,,,,,3,3,,2 aÃ±os,,,,,,,,,,,,,
1426260281,sinaloa,casa,https://casa.metroscubicos.com/MLM-1426260281-casa-sola-en-venta-perisur-_JM,"$2,748,000",Culiacán,Perisur,100 m²,137 m²,3,5,,,11 años,,,,,,,,,,,,,,,,,,,,,
