ID,entidad,tipo,link,precio,municipio,colonia,Superficie total,Superficie construida,Ambientes,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Cuota mensual de mantenimiento,Orientación,RecÃ¡maras,BaÃ±os,AntigÃ¼edad,OrientaciÃ³n,Bodegas,Tipo de casa,Tipo de propiedad,Disposición,Número de piso de la unidad,Departamentos por piso,Acceso,Metros de frente,Metros de fondo,Forma del terreno,DisposiciÃ³n del lote,Disposición del lote
1425069898,yucatán,casa,https://casa.metroscubicos.com/MLM-1425069898-casa-en-venta-de-lujo-en-privada-temozon-norte-_JM,"$5,880,000",Mérida,Temozon Norte,307 m²,264 m²,18,4,4,3,2,0 años,1535 MXN,,,,,,,,,,,,,,,,,
1424667580,yucatán,casa,https://casa.metroscubicos.com/MLM-1424667580-casa-en-privada-residencial-zona-norte-de-merida-_JM,"$3,400,000",Mérida,Cholul,300 m²,260 m²,8,3,4,2,,,,,,,,,,,,,,,,,,,,
1424190149,yucatán,venta,https://casa.metroscubicos.com/MLM-1424190149-venta-de-casa-en-kanasin-merida-yucatan-excelente-oportunidad-para-comprar-tu-nueva-casa-_JM,"$2,190,000",Kanasin,Kanasin,603 m²,296 m²,1,7,1,1,1,20 años,0 MXN,,,,,,,,,,,,,,,,,
1373177837,yucatán,casas,https://casa.metroscubicos.com/MLM-1373177837-casas-deptos-y-terrenos-en-merida-yucatan-a-super-precio-_JM,"$1,300,000",Mérida,Fracc. Misne-Balam,134 m²,175 m²,,2,1,1,,,,,,,,,,,,,,,,,,,,
1407763672,yucatán,casa,https://casa.metroscubicos.com/MLM-1407763672-casa-en-venta-yucatan-country-club-_JM,"$25,828,000",Mérida,Yucatan Country Club,772 m²,512 m²,21,4,5,3,2,0 años,5516 MXN,,,,,,,,,,,,,,,,,
1360880483,yucatán,amplia,https://casa.metroscubicos.com/MLM-1360880483-amplia-casa-con-terreno-excedente-en-las-americas-_JM,"$1,995,000",Mérida,Las Américas II,100 m²,100 m²,,3,3,2,,,,Norte,,,,,,,,,,,,,,,,
1407759644,yucatán,casa,https://casa.metroscubicos.com/MLM-1407759644-casa-en-venta-en-merida-con-espectacular-terreno-de-2000m2-tamanche-_JM,"$12,750,000",MÃ©rida,Tamanche,2000 mÂ²,550 mÂ²,16,,,4,1,,0 MXN,,4,4,15 aÃ±os,,,,,,,,,,,,,
1407769489,yucatán,casa,https://casa.metroscubicos.com/MLM-1407769489-casa-en-venta-3-recamaras-y-un-estudio-gran-jardin-las-americas-merida-_JM,"$1,699,000",Yucatán,Mérida,180 m²,145 m²,13,4,2,2,2,13 años,0 MXN,Norte,,,,,,,,,,,,,,,,
1407753215,yucatán,casas,https://casa.metroscubicos.com/MLM-1407753215-casas-en-venta-de-3-recamaras-con-piscina-temozon-merida-norte-_JM,"$3,000,000",Mérida,Temozon Norte,214 m²,,10,3,3,2,3,9 años,1050 MXN,Norte,,,,,,,,,,,,,,,,
936000715,yucatán,por,https://casa.metroscubicos.com/MLM-936000715-por-altabrisa-casa-super-equipada-con-alberca-_JM,"$2,850,000",Mérida,Cholul,286 m²,216 m²,,3,5,4,,,,,,,,,,,,,,,,,,,,
1407760096,yucatán,casa,https://casa.metroscubicos.com/MLM-1407760096-casa-de-5-recamaras-en-venta-esperanza-wallis-_JM,"$1,600,000",Yucatán,Mérida,238 m²,238 m²,14,5,2,3,2,20 años,0 MXN,Norte,,,,,,,,,,,,,,,,
1407747965,yucatán,town,https://casa.metroscubicos.com/MLM-1407747965-town-houses-en-venta-en-merida-chuburna-_JM,"$2,299,000",Yucatán,Mérida,168 m²,,16,3,3,2,3,0 años,700 MXN,,,,,,,,,,,,,,,,,
1358548001,yucatán,casa,https://casa.metroscubicos.com/MLM-1358548001-casa-con-diseno-unico-y-exclusivo-frente-a-lago-en-yucatan-c-_JM,"$18,355,000",Mérida,Yucatan Country Club,580 m²,521 m²,11,4,6,3,,,,,,,,,,,,,,,,,,,,
1345517500,yucatán,terrenos,https://casa.metroscubicos.com/MLM-1345517500-terrenos-en-hacienda-kankabal-carretera-izamal-tunkas-km-21-_JM,"$971,836",Izamal,Izamal,3000 m²,,,,,1,,0 años,450 MXN,,,,,,,,,,,,,,,,,
1407747618,yucatán,casa,https://casa.metroscubicos.com/MLM-1407747618-casa-en-venta-de-3-recamaras-en-privada-temozon-norte-_JM,"$4,750,000",MÃ©rida,Temozon Norte,285 mÂ²,,12,,,2,2,,1800 MXN,,3,3,0 aÃ±os,,,,,,,,,,,,,
1407748187,yucatán,residencia,https://casa.metroscubicos.com/MLM-1407748187-residencia-de-10-recamaras-en-privada-simplemente-espectacular-temozon-norte-_JM,"$24,100,000",Mérida,Temozon Norte,1200 m²,1200 m²,42,10,12,4,3,3 años,4400 MXN,,,,,,,,,,,,,,,,,
1422052007,yucatán,casa,https://casa.metroscubicos.com/MLM-1422052007-casa-tipo-townhouse-con-alberca-en-venta-dentro-privada-bell-_JM,"$2,450,000",Mérida,Dzitya,147 m²,150 m²,6,3,3,2,,0 años,,,,,,,,,,,,,,,,,,
1407741135,yucatán,casa,https://casa.metroscubicos.com/MLM-1407741135-casa-en-la-playa-frente-al-mar-pueblo-chicxulub-puerto-_JM,"$19,800,000",Progreso,Chicxulub,700 m²,,,4,5,,2,15 años,0 MXN,,,,,,,,,,,,,,,,,
1408289968,yucatán,casa,https://casa.metroscubicos.com/MLM-1408289968-casa-en-venta-en-la-playa-frente-al-mar-telchac-puerto-_JM,"$20,500,000",Yucatán,Telchac Puerto,1102 m²,,,,,,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1407759987,yucatán,casa,https://casa.metroscubicos.com/MLM-1407759987-casa-de-una-planta-en-privada-al-norte-de-merida-pueblo-chablekal-_JM,"$3,890,000",Yucatán,Mérida,420 m²,,11,3,2,2,1,0 años,1500 MXN,Norte,,,,,,,,,,,,,,,,
1407722131,yucatán,casa,https://casa.metroscubicos.com/MLM-1407722131-casa-en-venta-de-4-recamaras-en-exclusiva-privada-lista-para-entrega-temozon-_JM,"$8,250,000",Mérida,Temozon Norte,420 m²,420 m²,17,4,6,3,2,0 años,0 MXN,Norte,,,,,,,,,,,,,,,,
1407715842,yucatán,venta,https://casa.metroscubicos.com/MLM-1407715842-venta-o-renta-casa-monterreal-_JM,"$4,800,000",Mérida,Monterreal,370 m²,370 m²,12,4,3,2,2,20 años,1000 MXN,,,,,,,,,,,,,,,,,
1407734603,yucatán,casa,https://casa.metroscubicos.com/MLM-1407734603-casa-en-venta-4-recamaras-amplio-terreno-privada-al-norte-de-merida-hacienda-xcanatun-_JM,"$5,950,000",Mérida,Xcanatun,527 m²,,14,4,4,4,2,0 años,1000 MXN,Norte,,,,,,,,,,,,,,,,
1407769180,yucatán,casa,https://casa.metroscubicos.com/MLM-1407769180-casa-en-venta-en-merida-privada-amidanah-mod-d-casa-de-una-planta-temozon-norte-mayo-paneles-solares-de-regalo-_JM,"$4,450,000",Yucatán,Mérida,318 m²,235 m²,,3,3,2,1,0 años,1500 MXN,,,,,,,,,,,,,,,,,
1422064828,yucatán,casa,https://casa.metroscubicos.com/MLM-1422064828-casa-en-preventa-zona-norte-de-merida-exclusiva-privada-al-_JM,"$14,000,000",Mérida,Santa Gertrudis Copo,650 m²,580 m²,11,5,5,3,,0 años,,,,,,,,,,,,,,,,,,
1407759646,yucatán,casa,https://casa.metroscubicos.com/MLM-1407759646-casa-en-venta-de-4-recamaras-y-muy-amplia-con-gran-terreno-san-diego-cutz-_JM,"$3,350,000",Yucatán,Conkal,480 m²,244 m²,12,4,4,3,2,0 años,0 MXN,Norte,,,,,,,,,,,,,,,,
1405847577,yucatán,1192,https://casa.metroscubicos.com/MLM-1405847577-1192-bosque-de-yucatan-bosques-de-mexico-_JM,"$4,250,000",Tlalnepantla de Baz,Bosques De México,148 m²,148 m²,,3,3,1,,,,,,,,,,,,,,,,,,,,
1421944418,yucatán,casa,https://casa.metroscubicos.com/MLM-1421944418-casa-de-playa-con-alberca-en-venta-chicxulub-puerto-_JM,"$1,950,000",Progreso,Chicxulub Puerto,147 m²,85 m²,4,2,2,1,,,,,,,,,,,,,,,,,,,,
1407748098,yucatán,residencia,https://casa.metroscubicos.com/MLM-1407748098-residencia-en-venta-privada-residencial-zona-country-merida-_JM,"$11,800,000",Yucatán,Mérida,543 m²,,19,3,4,3,2,0 años,6000 MXN,Sur,,,,,,,,,,,,,,,,
1410982054,yucatán,casas,https://casa.metroscubicos.com/MLM-1410982054-casas-en-pre-venta-palia-plus-en-privada-moratta-dzitya-_JM,"$3,816,250",Mérida,Dzitya,261 m²,202 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,
1421937908,yucatán,casa,https://casa.metroscubicos.com/MLM-1421937908-casa-con-alberca-en-venta-dentro-privada-con-amenidades-en-c-_JM,"$2,920,000",Mérida,Cholul,250 m²,190 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,
1407763679,yucatán,casa,https://casa.metroscubicos.com/MLM-1407763679-casa-en-venta-con-piscina-entrega-temozon-norte-_JM,"$2,950,000",Mérida,Temozon Norte,166 m²,,12,2,2,1,2,0 años,0 MXN,,,,,,,,,,,,,,,,,
1407735065,yucatán,residencia,https://casa.metroscubicos.com/MLM-1407735065-residencia-en-venta-4-recamaras-yucatan-country-club-_JM,"$19,646,000",Mérida,Yucatan Country Club,750 m²,,16,4,5,3,2,0 años,0 MXN,,,,,,,,,,,,,,,,,
1421912014,yucatán,casa,https://casa.metroscubicos.com/MLM-1421912014-casa-en-venta-en-yucatan-country-club-frente-al-hoyo-8-y-18-_JM,"$25,000,000",Mérida,Yucatan Country Club,1499 m²,571 m²,10,4,4,4,,8 años,,,,,,,,,,,,,,,,,,
1407760115,yucatán,casa,https://casa.metroscubicos.com/MLM-1407760115-casa-de-4-recamaras-de-venta-en-merida-desarrollos-habitacionales-de-lujo-santa-gertrudis-merida-_JM,"$7,995,000",Yucatán,Mérida,458 m²,,14,4,4,3,2,0 años,0 MXN,,,,,,,,,,,,,,,,,
1407753232,yucatán,casa,https://casa.metroscubicos.com/MLM-1407753232-casa-de-una-planta-gran-terreno-2540m2-dentro-de-la-ciudad-merida-norte-_JM,"$22,500,000",YucatÃ¡n,MÃ©rida,2540 mÂ²,718 mÂ²,18,,,6,1,,0 MXN,,3,3,0 aÃ±os,Norte,,,,,,,,,,,,
1422064829,yucatán,venta,https://casa.metroscubicos.com/MLM-1422064829-venta-casa-de-playa-con-piscina-en-chicxulub-_JM,"$2,900,000",Progreso,Chicxulub Puerto,400 m²,270 m²,5,3,2,6,,11 años,,,,,,,,,,,,,,,,,,
1407728328,yucatán,venta,https://casa.metroscubicos.com/MLM-1407728328-venta-casa-en-merida-privada-amidanah-temozon-en-mayo-paneles-solares-de-regalo-_JM,"$4,760,000",Yucatán,Mérida,318 m²,285 m²,9,3,3,3,2,0 años,1200 MXN,,,,,,,,,,,,,,,,,
1421957284,yucatán,casa,https://casa.metroscubicos.com/MLM-1421957284-casa-con-alberca-en-venta-dentro-de-privada-en-cholul-zona-_JM,"$3,484,000",Mérida,Cholul,279 m²,192 m²,7,3,3,2,,0 años,,,,,,,,,,,,,,,,,,
1420844776,yucatán,casa,https://casa.metroscubicos.com/MLM-1420844776-casa-en-venta-en-el-centro-de-merida-kin-_JM,"$7,200,000",Mérida,Merida Centro,300 m²,270 m²,10,5,5,,,0 años,,,,,,,,,,,,,,,,,,
1421944420,yucatán,casa,https://casa.metroscubicos.com/MLM-1421944420-casa-en-venta-club-de-golf-la-ceiba-con-vista-al-green-_JM,"$14,000,000",Mérida,Club De Golf La Ceiba,1200 m²,580 m²,10,4,6,6,,5 años,,,,,,,,,,,,,,,,,,
1410130434,yucatán,casa,https://casa.metroscubicos.com/MLM-1410130434-casa-con-alberca-privada-acabados-en-marmol-y-granito-_JM,"$5,057,300",Mérida,Ejido De Chuburna,316 m²,284 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,
1407728430,yucatán,casa,https://casa.metroscubicos.com/MLM-1407728430-casa-en-venta-al-norte-de-merida-privada-arborea-_JM,"$4,650,000",Yucatán,Mérida,510 m²,,12,4,4,4,2,0 años,0 MXN,,,,,,,,,,,,,,,,,
1422071119,yucatán,casa,https://casa.metroscubicos.com/MLM-1422071119-casa-en-venta-dentro-de-privada-zona-norte-temozon-norte-_JM,"$6,350,000",Mérida,Temozon Norte,400 m²,380 m²,9,4,4,2,,,,,,,,,,,,,,,,,,,,
1407716357,yucatán,casa,https://casa.metroscubicos.com/MLM-1407716357-casa-en-venta-ceiba-centro-historico-merida-_JM,"$10,500,000",Mérida,Merida Centro,558 m²,,12,3,3,2,1,0 años,0 MXN,,,,,,,,,,,,,,,,,
1421912017,yucatán,casa,https://casa.metroscubicos.com/MLM-1421912017-casa-en-venta-dentro-privada-con-amenidades-en-cholul-_JM,"$2,515,000",Mérida,Cholul,265 m²,170 m²,6,3,3,2,,,,,,,,,,,,,,,,,,,,
1422064830,yucatán,casa,https://casa.metroscubicos.com/MLM-1422064830-casa-con-alberca-en-venta-en-privada-soluna-al-norte-merida-_JM,"$3,991,994",Mérida,Temozon Norte,281 m²,205 m²,7,3,3,2,,0 años,,,,,,,,,,,,,,,,,,
1407753228,yucatán,casa,https://casa.metroscubicos.com/MLM-1407753228-casa-en-venta-en-la-playa-frente-al-mar-telchac-puerto-_JM,"$20,500,000",Yucatán,Telchac Pueblo,1102 m²,,,,,,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1407735105,yucatán,casas,https://casa.metroscubicos.com/MLM-1407735105-casas-en-venta-merida-temozon-norte-_JM,"$8,200,000",Mérida,Temozon Norte,450 m²,,18,4,5,2,2,0 años,0 MXN,,,,,,,,,,,,,,,,,
1421937907,yucatán,casa,https://casa.metroscubicos.com/MLM-1421937907-casa-de-playa-con-alberca-en-venta-chicxulub-puerto-_JM,"$2,200,000",Progreso,Chicxulub Puerto,219 m²,95 m²,5,2,2,1,,,,,,,,,,,,,,,,,,,,
1422071118,yucatán,casa,https://casa.metroscubicos.com/MLM-1422071118-casa-en-venta-dentro-de-privada-en-cholul-zona-norte-merida-_JM,"$3,990,000",Mérida,Cholul,229 m²,270 m²,8,4,3,2,,0 años,,,,,,,,,,,,,,,,,,
1348661336,yucatán,casa,https://casa.metroscubicos.com/MLM-1348661336-casa-lamat-en-hacienda-kankabal-cerca-de-izamal-_JM,"$5,409,000",Izamal,Izamal,3000 m²,278 m²,,3,4,4,3,4 años,,,,,,,,,,,,,,,,,,
1415247827,yucatán,casa,https://casa.metroscubicos.com/MLM-1415247827-casa-en-venta-en-temozon-con-piscina-ascala-homes-_JM,"$4,900,000",Mérida,Temozon Norte,278 m²,291 m²,8,3,4,3,,,,,,,,,,,,,,,,,,,,
1422071117,yucatán,casa,https://casa.metroscubicos.com/MLM-1422071117-casa-en-venta-dentro-de-privada-zona-norte-temozon-norte-_JM,"$6,700,000",Mérida,Temozon Norte,461 m²,390 m²,9,4,4,2,,,,,,,,,,,,,,,,,,,,
1421912016,yucatán,casa,https://casa.metroscubicos.com/MLM-1421912016-casa-en-venta-zona-norte-de-merida-exclusiva-privada-_JM,"$7,500,000",Mérida,Residencial Del Mayab,384 m²,390 m²,9,4,4,3,,,,,,,,,,,,,,,,,,,,
1415066573,yucatán,hermosas,https://casa.metroscubicos.com/MLM-1415066573-hermosas-casas-en-desarrollo-idilia-_JM,"$1,410,000",Conkal,Conkal,148 m²,89 m²,4,2,1,2,,0 años,,,,,,,,,,,,,,,,,,
1405981524,yucatán,casa,https://casa.metroscubicos.com/MLM-1405981524-casa-nueva-townhouse-a-10min-del-centro-chuburna-_JM,"$2,099,000",Mérida,Chuburna De Hidalgo,77 m²,130 m²,5,2,3,2,2,0 años,790 MXN,Poniente,,,,,,,,,,,,,,,,
1415101616,yucatán,casa,https://casa.metroscubicos.com/MLM-1415101616-casa-en-venta-temozon-norte-_JM,"$11,499,999",Mérida,Temozon Norte,833 m²,500 m²,,3,5,3,1,3 años,,,,,,,2,,,,,,,,,,,
1407763240,yucatán,casa,https://casa.metroscubicos.com/MLM-1407763240-casa-en-venta-de-una-planta-con-terreno-amplio-privada-_JM,"$6,545,000",Yucatán,Mérida,650 m²,326 m²,14,3,3,3,1,0 años,1000 MXN,Norte,,,,,,,,,,,,,,,,
1422064827,yucatán,townhouse,https://casa.metroscubicos.com/MLM-1422064827-townhouse-en-venta-en-montebello-cerca-av-garcia-lavin-nor-_JM,"$2,900,000",Mérida,Montebello,120 m²,126 m²,4,2,2,2,,,,,,,,,,,,,,,,,,,,
1407763397,yucatán,hermosa,https://casa.metroscubicos.com/MLM-1407763397-hermosa-casa-en-venta-al-norte-de-merida-oportunidad-estrena-residencia-en-conkal-_JM,"$2,400,000",Yucatán,Mérida,386 m²,,6,3,3,2,2,0 años,0 MXN,,,,,,,,,,,,,,,,,
1407741710,yucatán,residencia,https://casa.metroscubicos.com/MLM-1407741710-residencia-en-venta-4-recamaras-yucatan-country-club-_JM,"$22,500,000",Mérida,Yucatan Country Club,856 m²,,15,4,5,3,2,0 años,0 MXN,,,,,,,,,,,,,,,,,
1422097314,yucatán,casa,https://casa.metroscubicos.com/MLM-1422097314-casa-totalmente-renovada-en-col-mexico-6-habitaciones-7-banos-piscina-820000-_JM,"$8,200,000",Mérida,México,414 m²,450 m²,9,6,7,3,2,,,Norte,,,,,,,,,,,,,,,,
1367717771,yucatán,estrenar,https://casa.metroscubicos.com/MLM-1367717771-estrenar-casa-equipada-en-san-ramon-nte-_JM,"$3,450,000",Mérida,San Ramon Norte I,231 m²,231 m²,,3,4,2,2,,800 MXN,,,,,,1,,,,,,,,,,,
1406584513,yucatán,casa,https://casa.metroscubicos.com/MLM-1406584513-casa-para-estrenar-entrega-inmediata-un-piso-zona-norte-residencial-botanico-merida-con-alberca-_JM,"$3,700,000",Mérida,Mérida,798 m²,265 m²,5,3,3,2,1,1 años,1000 MXN,,,,,,,,,,,,,,,,,
1420136360,yucatán,casa,https://casa.metroscubicos.com/MLM-1420136360-casa-en-venta-en-av-paseo-jaguar-country-club-_JM,"$19,250,000",Mérida,Yucatan Country Club,801 m²,535 m²,12,4,7,3,,0 años,,,,,,,,,,,,,,,,,,
1407769424,yucatán,casas,https://casa.metroscubicos.com/MLM-1407769424-casas-en-venta-al-norte-de-merida-anona-_JM,"$3,485,000",YucatÃ¡n,MÃ©rida,250 mÂ²,,15,,,1,,,1450 MXN,,3,3,0 aÃ±os,,,,,,,,,,,,,
1407728517,yucatán,departamento,https://casa.metroscubicos.com/MLM-1407728517-departamento-pueblo-chicxulub-puerto-_JM,"$2,945,000",YucatÃ¡n,Progreso,204 mÂ²,,13,,,,2,,0 MXN,,2,3,0 aÃ±os,,,,,,,,,,,,,
1407763394,yucatán,en,https://casa.metroscubicos.com/MLM-1407763394-en-venta-casa-al-norte-de-merida-la-vida-como-la-sonaste-los-azulejos-temozon-_JM,"$8,000,000",Yucatán,Mérida,581 m²,,15,4,4,3,1,0 años,1500 MXN,Norte,,,,,,,,,,,,,,,,
1408700139,yucatán,casa,https://casa.metroscubicos.com/MLM-1408700139-casa-premium-4-habitaciones-oficina-alberca-terrazas-_JM,"$8,200,000",Mérida,La Rejoyada,1070 m²,430 m²,10,4,6,4,2,0 años,,Poniente,,,,,1,,,,,,,,,,,
1407722631,yucatán,casa,https://casa.metroscubicos.com/MLM-1407722631-casa-de-lujo-en-venta-pregunte-por-informacion-fraccionamiento-montebello-_JM,"$28,000,000",Mérida,Montebello,1521 m²,,14,4,5,8,2,4 años,0 MXN,Norte,,,,,,,,,,,,,,,,
1398974462,yucatán,casa,https://casa.metroscubicos.com/MLM-1398974462-casa-maanen-en-venta-en-montes-de-ame-en-merida-_JM,"$4,850,000",Mérida,Montes De Ame,385 m²,277 m²,8,3,4,3,,0 años,,,,,,,,,,,,,,,,,,
1415539810,yucatán,casa,https://casa.metroscubicos.com/MLM-1415539810-casa-en-venta-chicxulub-puerto-merida-villas-diez-cinco-_JM,"$3,995,000",Progreso,Chicxulub Puerto,248 m²,171 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,
1415495494,yucatán,casa,https://casa.metroscubicos.com/MLM-1415495494-casa-en-venta-en-merida-privada-fontana-cerca-de-cabo-norte-_JM,"$5,500,000",Mérida,Santa Gertrudis Copo,633 m²,284 m²,8,4,4,2,,0 años,,,,,,,,,,,,,,,,,,
1398522173,yucatán,casa,https://casa.metroscubicos.com/MLM-1398522173-casa-en-renta-venta-yucatan-country-club-merida-_JM,"$25,000,000",Mérida,Yucatan Country Club,1000 m²,,,4,6,3,,4 años,0 MXN,,,,,,,,,,,,,,,,,
1415539811,yucatán,casa,https://casa.metroscubicos.com/MLM-1415539811-casa-en-venta-merida-pasadena-tipo-townhouse-_JM,"$2,750,000",Mérida,Santa Gertrudis Copo,96 m²,193 m²,5,2,2,2,,0 años,,,,,,,,,,,,,,,,,,
1415628348,yucatán,casas,https://casa.metroscubicos.com/MLM-1415628348-casas-en-venta-en-merida-las-villas-cholul-modelo-b-_JM,"$2,591,000",Mérida,Cholul,192 m²,154 m²,6,3,2,3,,,,,,,,,,,,,,,,,,,,
1398533963,yucatán,casa,https://casa.metroscubicos.com/MLM-1398533963-casa-yucatan-country-club-_JM,"$33,000,000",Mérida,Yucatan Country Club,1000 m²,,,3,5,4,2,5 años,0 MXN,,,,,,,,,,,,,,,,,
1401320264,yucatán,casa,https://casa.metroscubicos.com/MLM-1401320264-casa-en-renta-amueblada-en-fracc-gonzalo-guerrero-_JM,"$6,000,000",Yucatán,Mérida,420 m²,,,4,3,3,2,15 años,0 MXN,,,,,,,,,,,,,,,,,
1415590717,yucatán,casa,https://casa.metroscubicos.com/MLM-1415590717-casa-en-venta-merida-en-privada-gran-santa-fe-_JM,"$1,750,000",Mérida,Gran Santa Fe,225 m²,120 m²,3,2,1,3,,3 años,,,,,,,,,,,,,,,,,,
1415616089,yucatán,casa,https://casa.metroscubicos.com/MLM-1415616089-casa-en-venta-en-merida-privada-compostela-_JM,"$11,300,000",Mérida,Yucatan Country Club,525 m²,430 m²,8,3,4,2,,0 años,,,,,,,,,,,,,,,,,,
1403143046,yucatán,casa,https://casa.metroscubicos.com/MLM-1403143046-casa-en-venta-santa-gertrudis-copo-merida-_JM,"$3,050,000",Mérida,Santa Gertrudis Copo,290 m²,,,3,2,2,2,0 años,0 MXN,,,,,,,,,,,,,,,,,
1415539809,yucatán,casa,https://casa.metroscubicos.com/MLM-1415539809-casa-en-venta-en-merida-gran-santa-fe-en-privada-_JM,"$1,750,000",Mérida,Gran Santa Fe,225 m²,120 m²,3,2,1,3,,3 años,,,,,,,,,,,,,,,,,,
1415609851,yucatán,casa,https://casa.metroscubicos.com/MLM-1415609851-casa-en-venta-en-merida-privada-fontana-_JM,"$4,100,000",Mérida,Santa Gertrudis Copo,238 m²,253 m²,7,3,3,2,,2 años,,,,,,,,,,,,,,,,,,
1414155276,yucatán,casa,https://casa.metroscubicos.com/MLM-1414155276-casa-en-venta-de-2-recamaras-en-colonia-brisas-del-norte-_JM,"$1,300,000",Mérida,Las Brisas Del Norte,160 m²,96 m²,5,2,2,2,,0 años,,,,,,,,,,,,,,,,,,
1415628349,yucatán,casa,https://casa.metroscubicos.com/MLM-1415628349-casa-en-venta-merida-privada-estela-nativa-conkal-mod-136-_JM,"$2,549,000",Conkal,Conkal,222 m²,136 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,
1415584431,yucatán,casa,https://casa.metroscubicos.com/MLM-1415584431-casa-en-venta-en-merida-saro-temozon-norte-tipo-townhouse-_JM,"$2,195,000",Mérida,Temozon Norte,76 m²,124 m²,5,2,2,2,,0 años,,,,,,,,,,,,,,,,,,
1415495493,yucatán,casas,https://casa.metroscubicos.com/MLM-1415495493-casas-en-venta-en-merida-tipo-townhouse-kira-real-montejo-_JM,"$2,275,000",Mérida,Real Montejo,89 m²,139 m²,5,2,2,2,,0 años,,,,,,,,,,,,,,,,,,
1415495492,yucatán,casa,https://casa.metroscubicos.com/MLM-1415495492-casa-en-venta-en-merida-privada-alba-modelo-234-conkal-_JM,"$4,299,000",Conkal,Conkal,447 m²,234 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,
1426035356,yucatán,pre,https://casa.metroscubicos.com/MLM-1426035356-pre-venta-casa-3-recamaras-dzitya-merida-_JM,"$7,190,000",Mérida,Dzitya,647 m²,359 m²,8,3,4,,,0 años,,,,,,,,,,,,,,,,,,
1424771934,yucatán,casa,https://casa.metroscubicos.com/MLM-1424771934-casa-pueblo-chelem-puerto-lindo-casa-como-nueva-vc-1742-_JM,"U$S125,000",Progreso,Chelem,187 mÂ²,,,,,2,2,,1150 MXN,,2,2,4 aÃ±os,,,,,,,,,,,,,
1424105607,yucatán,casa,https://casa.metroscubicos.com/MLM-1424105607-casa-con-alberca-cerca-del-deportivo-salvador-alvarado-y-a-pocas-cuadras-de-paseo-montejo-_JM,"$6,500,000",Mérida,Yucatán,836 m²,365 m²,,3,4,,,,,,,,,,,,,,,,,,,,,
1423433130,yucatán,casas,https://casa.metroscubicos.com/MLM-1423433130-casas-en-venta-santa-gertrudis-copo-merida-_JM,"$3,140,000",Mérida,Santa Gertrudis Copo,114 m²,186 m²,6,2,2,2,,,,,,,,,,,,,,,,,,,,
1424852560,yucatán,vendo,https://casa.metroscubicos.com/MLM-1424852560-vendo-casa-en-merida-cerca-de-plaza-altana-remate-ak-_JM,"$876,000",Yucatán,Mérida,185 m²,,7,3,1,2,,10 años,300 MXN,,,,,,,,,,,,,,,,,
1422800021,yucatán,casa,https://casa.metroscubicos.com/MLM-1422800021-casa-de-3r-en-venta-dentro-de-comunidad-sustentable-en-conka-_JM,"$2,190,000",Conkal,Conkal,225 m²,131 m²,6,3,2,2,,,,,,,,,,,,,,,,,,,,
1422806254,yucatán,casa,https://casa.metroscubicos.com/MLM-1422806254-casa-de-2r-y-sala-comedor-a-doble-altura-en-venta-en-conkal-_JM,"$2,160,000",Conkal,Conkal,201 m²,131 m²,4,2,1,2,,,,,,,,,,,,,,,,,,,,
1423932664,yucatán,casa,https://casa.metroscubicos.com/MLM-1423932664-casa-en-venta-en-la-playa-de-chicxulub-puerto-_JM,"$3,300,000",Progreso,Chicxulub Puerto,204 mÂ²,135 mÂ²,,,,2,2,,,,2,2,1 aÃ±os,,,,,,,,,,,,,
1423411686,yucatán,casa,https://casa.metroscubicos.com/MLM-1423411686-casa-merida-centro-cerca-plancha-y-mejorada-vc-1791-_JM,"$2,000,000",Mérida,Merida Centro,166 m²,,,2,2,,,0 años,0 MXN,,,,,,,,,,,,,,,,,
1426690979,yucatán,casa,https://casa.metroscubicos.com/MLM-1426690979-casa-en-venta-en-merida-savara-residencial-conkal-mod-ma-_JM,,,Inmuebles,,,,,,,,,,,,,,,,,,,,,,,,,,
1426658634,yucatán,casa,https://casa.metroscubicos.com/MLM-1426658634-casa-en-venta-en-merida-savara-residencial-conkal-mod-ma-_JM,"$2,510,000",Conkal,Conkal,262 m²,181 m²,7,3,3,2,,,,,,,,,,,,,,,,,,,,
1425570822,yucatán,casa,https://casa.metroscubicos.com/MLM-1425570822-casa-o-terreno-cercano-a-estacion-del-tren-maya-merida-airport-_JM,"$1,416,500",Yucatán,Mérida,256 m²,,,2,1,1,1,7 años,0 MXN,,,,,,,,,,,,,,,,,
1424083948,yucatán,casa,https://casa.metroscubicos.com/MLM-1424083948-casa-en-venta-a-unos-metros-de-la-playa-de-chicxulub-puerto-_JM,"$3,300,000",Progreso,Chicxulub Puerto,204 mÂ²,135 mÂ²,,,,2,2,,1500 MXN,,2,2,1 aÃ±os,,,,,,,,,,,,,
